string,pred
 splash gin,gin
 sprig cilantro,cilantro
 sprig fresh mint,mint
" sprig fresh mint, leaves only",mint
 sprig marjoram,marjoram
 sprig mint,mint
" sprig mint, fresh",mint
 sprig rosemary,rosemary
" sprig rosemary, fresh",rosemary
 sprig tarragon,tarragon
 sprig thyme,thyme
" sprig thyme, fresh",thyme
 stalk lemongrass,lemongrass
" stalk lemongrass, sliced",lemongrass
 star crushed anise,anise
 star whole anise,anise
 stick celery,celery
 stick cinnamon,cinnamon
 strawberry,kombu
" strawberry, halved",strawberry
 strip lemon zest,lemon zest
 sugar cube,sugar cube
 sugar cube (optional),sugar cube
 superfine sugar,superfine sugar
" tablespoon coarse salt, for glass rims",canned blueberries
 tablespoon Diamond Crystal (g); for table salt use half as much by volume or the same weight,table salt
" tablespoon fresh thyme leaves, roughly chopped",corn
 tablespoon freshly squeezed lemon juice,lemon juice
 tablespoon plus  teaspoon active dry yeast,active dry yeast
 tablespoons ( grams) mascarpone or sour cream,sweetened cream
 tablespoons ( grams) mascarpone or sour cream (optional),sweetened acid
" tablespoons ( grams) mascarpone, sour cream, or applesauce",sour cream
" tablespoons (g) plain or toasted sugar, divided",sugar
 tablespoons (g) unsalted butter,unsalted butter
" tablespoons (g) unsalted butter, cut into roughly -inch cubes",unsalted butter
" tablespoons (ml) extra-virgin olive oil, duck fat, goose fat, or beef fat",beef snapper
 tablespoons chives,chives
 tablespoons chopped fresh chives,chives
 tablespoons high-quality unsalted butter,unsalted butter
 tablespoons kosher salt,kosher salt
 tablespoons unsalted butter,unsalted butter
" tablespoons unsalted butter, at room temperature",unsalted butter
 Taste cane syrup,cane syrup
 Taste simple syrup,simple syrup
 tbsp acid phosphate,acid phosphate
 tbsp apple cider vinegar,apple cider vinegar
 tbsp brandy,brandy
" tbsp butter, room temperature",butter
" tbsp butter, softened",butter
 tbsp cane simple syrup,simple syrup
 tbsp celery salt,celery salt
 tbsp chicory,chicory
 tbsp cocoa powder,cocoa powder
 tbsp cranberry sorbet,cranberry sorbet
 tbsp dark brown sugar,dark brown sugar
 tbsp demerara sugar,demerara sugar
 tbsp dried ancho chile,ancho chile
" tbsp dry sparkling wine, chilled",sparkling wine
 tbsp edible gold flake,edible gold flake
 tbsp egg white,egg white
 tbsp extra virgin olive oil,extra virgin olive oil
" tbsp fresh mint, minced",mint
" tbsp fresh mint, minced (optional)",mint
" tbsp ginger, minced",ginger
 tbsp granulated sugar,granulated sugar
 tbsp honey,honey
" tbsp horseradish, grated",horseradish
" tbsp jalapeno, diced",jalapeno
 tbsp kosher salt,kosher salt
 tbsp kosher salt (optional),kosher salt
" tbsp lemon juice, freshly squeezed",lemon juice
 tbsp lemon zest,lemon zest
" tbsp lemon zest, grated",lemon zest
 tbsp lemongrass,lemongrass
" tbsp lime juice, freshly squeezed",lime juice
 tbsp lime zest,lime zest
 tbsp malted milk powder,malted milk powder
 tbsp maple syrup,maple syrup
 tbsp orange curacao,orange curacao
 tbsp orange zest,orange zest
 tbsp orange zest (optional),orange zest
 tbsp pumpkin butter,pumpkin liqueur
" tbsp rosemary, fresh",rosemary
 tbsp rye whiskey,rye whiskey
 tbsp simple syrup,simple syrup
 tbsp sparkling wine,sparkling wine
 tbsp spiced simple syrup,chia simple syrup
 tbsp sugar,sugar
 tbsp superfine sugar,superfine sugar
 tbsp sweet vermouth,sweet vermouth
 tbsp unsalted butter,unsalted butter
 tbsp water,water
 tbsp watercress,watercress
" tbsp white onion, diced",white onion
 tbsp white rum,white rum
 tbsp whole allspice,allspice
 tbsp whole anise,anise
 tbsp whole black peppercorn,black peppercorn
 tbsp whole clove,clove
 tbsp whole coriander seed,coriander seed
 tbsp whole cumin seed,cumin seed
 teaspoon (g) baking soda,baking soda
 teaspoon (g) Diamond Crystal kosher salt; for table salt use half as much by volume or the same weight,table salt salt
 teaspoon adobo sauce from the pepper can,whole steaks
 teaspoon baking soda,baking soda
 teaspoon freshly ground black pepper,black sugar
" teaspoon freshly ground white pepper, plus more to taste",white pepper
 teaspoon garlic powder,garlic stock
 teaspoon ground cinnamon,ground cinnamon
 teaspoon ground cloves,ground cloves
 teaspoon kosher salt,kosher salt
 teaspoon onion powder,onion powder
 teaspoons ground ginger,ground ginger
 teaspoons ground ginger (optional),ground ginger
 teaspoons kosher salt,kosher salt
" to   pounds (. to .kg) russet potatoes, peeled and sliced  inch thick on a mandoline slicer ( to  medium potatoes; see note)",russet potatoes
" to  tablespoons powdered sugar, plus more to decorate",powdered milk
 to taste lemon juice,lemon juice
 tsp absinthe,absinthe
 tsp agave,agave
 tsp agave simple syrup,barley malt
 tsp almond extract,almond extract
 tsp angostura bitters,angostura bitters
 tsp balsamic simple syrup,balsamic simple syrup
 tsp balsamic vinegar,balsamic vinegar
 tsp benedictine,benedictine
 tsp black peppercorn,black peppercorn
" tsp black peppercorn, freshly ground",black peppercorn
" tsp cardamom pod, lightly crushed",cardamom pod
 tsp celery salt,celery salt
 tsp cherry heering,cherry heering
 tsp cinchona bark,cinchona bark
 tsp citric acid,citric acid
 tsp cognac,cognac
 tsp cointreau,cointreau
" tsp coriander seed, ground",coriander seed
 tsp creme de violette,creme de violette
" tsp creme de violette, optional",creme de violette
 tsp demerara simple syrup,simple simple syrup
 tsp dried lavender,lavender
 tsp fig jam,fig jam
 tsp finely grated dark chocolate,dark chocolate
 tsp freshly grated nutmeg,grated nutmeg
 tsp grand marnier,grand marnier
 tsp granulated sugar,granulated sugar
 tsp grenadine,grenadine
 tsp ground cinnamon,ground cinnamon
 tsp ground ginger,ground ginger
 tsp ground pink peppercorn,pink peppercorn
 tsp harissa paste,harissa paste
 tsp herbsaint,herbsaint
 tsp honey,honey
" tsp horseradish sauce, freshly grated",horseradish sauce
 tsp hot sauce,hot sauce
 tsp kosher salt,kosher salt
 tsp lemon juice,lemon juice
" tsp lemon juice, freshly squeezed",lemon juice
 tsp maple syrup,maple syrup
 tsp maraschino liqueur,maraschino liqueur
 tsp mustard seed,mustard seed
" tsp nutmeg, freshly grated",nutmeg
 tsp orange bitters,orange bitters
 tsp orange blossom water,orange blossom water
 tsp orange marmalade,orange marmalade
 tsp pernod,pernod
 tsp pimento bitters,bitters bitters
" tsp pomegranate seed, ground",pomegranate seed
 tsp rose water,rose water
 tsp salt,salt
 tsp sea salt,sea salt
 tsp sherry vinegar,sherry vinegar
 tsp simple syrup,simple syrup
 tsp soy sauce,soy sauce
 tsp sugar,sugar
 tsp superfine sugar,superfine sugar
 tsp triple sec,triple sec
 tsp vanilla extract,vanilla extract
 tsp water,water
" tsp water, warm",water
" tsp water, warm (optional)",water
 tsp whole allspice,allspice
 tsp whole anise,anise
 tsp whole black peppercorn,black peppercorn
 tsp whole clove,clove
 tsp whole coriander seed,coriander seed
 tsp whole fennel seed,fennel seed
 tsp whole mace,buckwheat
 tsp worcestershire sauce,worcestershire sauce
 twist grapefruit,grapefruit
 twist lemon,lemon
 twist lime,lime
 twist orange,orange
 twist orange zest,orange zest
 vanilla bean,vanilla bean
" vanilla bean (g), split and scraped or  teaspoon vanilla extract",vanilla bean
 wedge cucumber,cucumber
 wedge grapefruit,grapefruit
 wedge lemon,lemon
" wedge lemon, juiced",lemon
 wedge lime,lime
 wedge orange,orange
 wedge pineapple,pineapple
 wedge tangerine,tangerine
 wheel cucumber,cucumber
 wheel lemon,lemon
 wheel lime,lime
 wheel orange,orange
" wheel orange, for garnish",orange
 whole anise,anise
" whole bone-in, skin-on pork shoulder,  to  pounds total",pork fatback
 whole cinnamon stick,cinnamon stick
 whole cinnamon stick (optional),cinnamon stick
 whole clove,clove
".3 ounces (about 2 teaspoons) instant yeast, such as SAF Instant Yeast",instant yeast
.4 ounces kosher salt (about 4 teaspoons),kosher salt
⅔ cup barbecue sauce,pizza sauce
⅓ cup chopped fresh cilantro,cilantro
⅓ cup hot water for soaking cashews,cashews
"⅓ cup or less shredded/crumbled cheese (mozzarella, cheddar, goat, feta)",horseradish
"⅓ cup reduced sodium tamari (or soy sauce, just be sure it’s reduced sodium or it will taste too salty)",soy sauce
⅓ cup shredded carrot (from 1 medium),carrot
¾ cup (1.5 ounces) finely grated ricotta salata and/or Parmesan cheese,parmesan rinds
¾ cup (150 g) sugar,sugar
¾ cup (2 ounces) coarsely grated Parmesan cheese,parmesan rinds
¾ cup plus 1 Tbsp. (or more) milk,sliced
"¾ pound uncooked medium shrimp, peeled and deveined",shrimp
"¾ teaspoon fine sea salt, divided",sea sea salt
"¾ teaspoon fine sea salt, to taste",sea sea salt
¾ teaspoon ground cumin,ground cumin
"¾ teaspoon salt, divided, to taste",salt
¾ teaspoon fine sea salt,sea salt
¾-1 cup of plain vegetable oil,vegetable oil
"¼ cup (⅔-ounce) chives or green onions (mostly green parts), cut into ¼-long pieces",green onions
¼ cup (40 g) shiro or sweet white miso,white white
¼ cup + 1 teaspoon extra-virgin olive oil,olive oil
¼ cup chopped cilantro,cilantro
¼ cup cilantro sprigs,cilantro
¼ cup crème fraîche or sour cream or Greek yogurt**,greek yogurt
"¼ cup cream cheese, softened",cream cheese
¼ cup extra-virgin olive oil,olive oil
¼ cup finely chopped Italian parsley,liquid smoke
¼ cup grated Parmesan cheese,parmesan rinds
¼ cup minced fresh basil,basil
¼ cup raw sesame seeds,sesame seeds
"¼ cup sauce (marinara, pesto, olive oil and garlic, barbecue sauce)",garlic paprika
¼ cup sliced scallions (about 2 scallions),cashews
¼ cup slivered almonds,almonds almonds
¼ cup toasted sesame oil,sesame oil
¼ cup vegan mayonnaise,mayonnaise
¼ teaspoon black pepper,black pepper
"¼ teaspoon crushed red pepper flakes, or more to taste",red pepper flakes
"¼ teaspoon fine salt, more to taste",table salt
"¼ teaspoon red pepper flakes, omit if sensitive to spice",red grey tea
"¼ teaspoon red pepper flakes, reduce or omit if sensitive to spice",red grey tea
"¼ to 1 teaspoon sugar – optional, add as required depending on the sourness of the tomatoes",sweetened milk
¼ tsp. fine sea salt (optional),sea sea salt
"½  Lemon, Juice And Zest (optional)",lemon zest
½ (14 ounce) can coconut milk,coconut milk
"½ cucumber , sliced",cucumber
"½ cup (1 stick) chilled unsalted butter or vegan butter (preferably Miyoko’s), cut into small pieces, plus 2 Tbsp. melted for brushing",unsalted paste
"½ cup (2 ounces) grated Parmesan, plus extra for garnish",parmesan
½ cup chopped cilantro,cilantro
½ cup chopped cilantro (optional),cilantro
"½ cup chopped fresh basil, plus a handful more small basil leaves or torn leaves for garnish",basil
"½ cup chopped fresh cilantro, plus more for garnish",cilantro
½ cup chopped fresh parsley,parsley
½ cup chopped fresh parsley (optional),parsley
½ cup chopped onion,onion
½ cup chopped red onion (about ½ small red onion),red onion
½ cup corn flour,corn flour
½ cup dried parsley,parsley
"½ cup fresh red or orange bell pepper, cut into narrow 2″ strips",orange bell pepper
½ cup halved cherry tomatoes,cherry tomatoes
"½ cup jarred or canned artichoke, cut into 1” pieces",artichoke
½ cup long-grain brown rice (or 1 ½ cups cooked rice),puffed brown rice
"½ cup or more ricotta cheese, for garnish",raisins
½ cup packed light brown sugar,light brown sugar
"½ cup pitted Kalamata olives, halved lengthwise",kalamata olives
"½ cup quinoa, rinsed in a fine-mesh colander",quinoa
"½ cup red onion, cut into thin wedges",red onion
"½ cup red onion, cut into thin wedges (optional)",red onion
½ cup salted butter,butter
½ cup salted butter (optional),butter
½ cup sliced almonds (optional),sliced almonds
"½ lemon, juiced",lemon
½ lime,lime
"½ medium jalapeno pepper, seeded and minced",tzatziki flour
"½ medium red bell pepper, minced",red bell pepper
"½ medium red bell pepper, minced (optional)",red bell pepper
½ pound (8 ounces) rigatoni or pappardelle or pasta of choice,nutmeg
"½ pound fresh crabmeat, well drained",nutmeg
½ small bunch thyme,thyme
½ Tablespoons Honey (optional),honey
½ teaspoon almond extract,almond extract
½ teaspoon almond extract (optional),almond extract
½ teaspoon baking soda,baking soda
½ teaspoon chili powder,chili powder
½ teaspoon crushed red pepper,red pepper
½ teaspoon cumin seeds,cumin seeds
½ teaspoon dried oregano,oregano
"½ teaspoon fine salt, to taste",table salt
"½ teaspoon fine salt, to taste (optional)",sliced almond
"½ teaspoon fine sea salt, to taste",sea sea salt
½ teaspoon freshly ground black pepper,black sugar
½ teaspoon granulated sugar,granulated sugar
½ teaspoon ground black pepper,black sugar
½ teaspoon ground cinnamon,ground cinnamon
½ teaspoon ground coriander,ground coriander
½ teaspoon ground ginger,ground ginger
½ teaspoon ground turmeric,turmeric
½ teaspoon kosher salt,kosher salt
½ teaspoon of lime juice or plain vinegar,lime zest
½ teaspoon pepper,sugar vodka
"½ teaspoon red pepper flakes, to taste (omit if sensitive to spice)",red sea tea
"½ teaspoon red pepper flakes, to taste (scale back or omit if sensitive to spice)",red sea tea
½ teaspoon salt,salt
½ teaspoon vanilla extract,vanilla extract
½ teaspoon Dijon mustard,mustard mustard
½ to 1 teaspoon garam masala or tandoori masala,pecorino masala
½ to 1 teaspoon kashmiri red chili powder or deghi mirch or ¼ to ½ teaspoon cayenne pepper or paprika,brewed sea tea
"½ to 1 teaspoon red pepper flakes, to taste (optional)",red pepper
½ tsp sea salt flakes,sea salt
½ tsp. baking soda,baking soda
½ tsp. kosher salt,kosher salt
½ tsp. sugar,sugar
½ whole grated nutmeg,grated nutmeg
â…“ cup levelled cocoa powder or 30 grams,cocoa powder
â…“ cup organic unrefined cane sugar or regular sugar or 70 grams,sugar pepper
Â½ cup levelled whole wheat flour (atta) or 60 grams whole wheat flour,whole wheat flour
Â½ teaspoon baking powder,mustard powder
Â½ teaspoon vanilla extract (optional),vanilla extract
"0.25 ounces (1 packet, about 2 teaspoons) instant or rapid rise yeast",rapid rise yeast
0.44 ounces salt (about 2 1/2 teaspoons) salt,salt salt
0.8 ounces (about 2 tablespoons) sugar,sugar
1  (15-ounce) can pumpkin purée (about 2 cups),pumpkin puree
1  angostura bitters,angostura bitters
1  bay leaves,bay leaves
1  cup ( grams) molasses or treacle [updated weight],molasses
1  cup apple cider,apple cider
1  cup granulated sugar,granulated sugar
1  cup lime juice,lime juice
"1  cup lime juice, freshly squeezed",lime juice
1  cup maple syrup,maple syrup
1  cup simple syrup,simple syrup
1  cup sugar,sugar
1  cup water,water
1  cup whole milk,whole milk
1  dash angostura bitters,angostura bitters
1  dash orange bitters,orange bitters
1  egg yolk,egg yolk
1  fluid ounces ( cups) half-and-half,nutmeg
1  ft cheesecloth,cheesecloth
1  grapefruit twist,grapefruit twist
"1  in fresh pasta, fresh",pasta
1  large egg,egg
1  large egg yolks,egg yolks
"1  large sweet potatoes, peeled and cubed",sweet potatoes
1  leaf basil,basil
1  leaf cilantro,cilantro
"1  lemon, halved",lemon
1  lime zest,lime zest
"1  medium cloves garlic, minced",garlic
"1  medium lemon, zested",lemon
1  medium lime,lime
"1  orange, zested",orange
1  oz agave nectar,agave nectar
1  oz allspice bitters,bitters
1  oz aquavit,aquavit
1  oz aquavit (optional),aquavit
1  oz blanco tequila,blanco tequila
1  oz blood orange juice,blood orange juice
1  oz bourbon,bourbon
1  oz caperitif,caperitif
1  oz carrot juice,carrot juice
"1  oz cava, chilled",cava
1  oz cherry juice,cherry juice
1  oz chilled ginger beer,ginger beer
1  oz cinnamon simple syrup,ginger syrup syrup
1  oz club soda,club soda
1  oz cynar,cynar
1  oz dark rum,dark rum
1  oz drambuie,drambuie
1  oz dry gin,dry gin
1  oz dry vermouth,dry vermouth
1  oz fernet branca,fernet branca
1  oz fino sherry,fino sherry
1  oz freshly squeezed orange juice,orange juice
1  oz galliano,galliano
1  oz gin,gin
"1  oz ginger beer, room temperature",ginger beer
1  oz ginger juice,ginger juice
"1  oz ginger juice, fresh",ginger juice
1  oz grade B maple syrup,maple syrup
1  oz honey syrup,honey syrup
"1  oz lemon juice, freshly squeezed",lemon juice
1  oz light rum,light rum
"1  oz lime juice, fresh",lime juice
1  oz mezcal,mezcal
1  oz mild fernet,fernet
1  oz old tom gin,old tom gin
1  oz pear brandy,pear brandy
"1  oz pineapple juice, fresh",pineapple juice
1  oz pisco,pisco
1  oz punt e mes,punt e mes
1  oz rum,rum
1  oz scotch,scotch
"1  oz seltzer, chilled",seltzer
1  oz simple syrup,simple syrup
1  oz single-malt scotch,scotch
1  oz sparkling wine,sparkling wine
1  oz triple sec,triple sec
1  oz unfiltered apple cider,apple cider
1  oz whiskey,whiskey
1  oz yellow chartreuse,yellow bell pepper
"1  pounds (about kg) russet or Yukon Gold potatoes, peeled and cut into quarters, sixths, or eighths, depending on size (see note)",yukon gold potatoes
"1  qt strawberry, split",strawberry
"1  seltzer, chilled",seltzer
1  slice lime,lime
1  slice lime (optional),lime
1  slice orange juice,orange juice
1  slice peach,peach
1  sparkling apple cider,sparkling apple cider
"1  tablespoons (g) unsalted butter, cut into roughly -inch cubes",unsalted butter
"1  tbsp butter, room temperature",butter
"1  tbsp butter, softened",butter
1  tbsp extra virgin olive oil,extra virgin olive oil
1  tbsp lemongrass,lemongrass
1  tbsp sugar,sugar
1  tbsp unsalted butter,unsalted butter
1  tbsp whole coriander seed,coriander seed
1  teaspoon (g) Diamond Crystal kosher salt; for table salt use half as much by volume or the same weight,table salt salt
"1  teaspoon freshly ground white pepper, plus more to taste",white pepper
1  teaspoon garlic powder,garlic stock
1  teaspoon kosher salt,kosher salt
1  tomato diced,tomato
"1  tsp coriander seed, ground",coriander seed
"1  tsp creme de violette, optional",creme de violette
1  tsp finely grated dark chocolate,dark chocolate
1  tsp ground cinnamon,ground cinnamon
1  tsp harissa paste,harissa paste
1  tsp kosher salt,kosher salt
1  tsp orange blossom water,orange blossom water
1  tsp sherry vinegar,sherry vinegar
"1 (1 1/2-inch) stick cinnamon, broken into pieces",cinnamon
"1 (1/2 inch) piece fresh ginger, minced",ginger
1 (10 ounce) package frozen peas,peas peas
1 (12 ounce) package extra-firm tofu,tofu tofu
1 (12 ounce) package fusilli pasta,alaska pollock
1 (12-ounce) can evaporated milk,evaporated milk
1 (13.5 ounce) can coconut milk (see note),coconut milk
1 (13.5 ounce) can light coconut milk,sweetened breast
1 (14 ounce) can coconut milk,coconut milk
1 (14-ounce) can coconut milk,coconut milk
"1 (14-ounce) can of sweetened condensed milk, label removed",sweetened condensed milk
1 (15 ounce) can pineapple chunks in juice,pineapple juice
1 (16-ounce) bag dried small red or black beans,brewed black tea
1 (2 1/2-pound) spaghetti squash (halved lengthwise and seeds removed),delicata squash
1 (2 1/2-pound) spaghetti squash (halved lengthwise and seeds removed) (optional),delicata squash
1 (28-ounce; 794g) can crushed tomatoes,tomatoes
"1 (28-ounce) can crushed Italian plum tomatoes, preferably D.O.P. San Marzano",plum tomatoes
1 (28-ounce) can whole peeled tomatoes,canned tomatoes
1 (28-ounce) can whole peeled tomatoes packed in juice,canned whole
"1 (28-ounce) can whole peeled tomatoes, roughly mashed",canned tomatoes
"1 (3 ounce) package cream cheese, softened",cream cheese
"1 (6- to 8-pound; 3 to 3.5kg) boneless pork shoulder roast, rind removed",fish yolks
"1 (8 ounce) package carrots, peeled and grated",carrots
1 (8.8 ounce) package naan bread,bread chocolate
1 ¼ cups granulated sugar,granulated sugar
1 ¼ cups quick-cooking oats** (use certified gluten-free oats if necessary),parsley
1 ¼ cups unsifted powdered sugar (about 5 ounces),powdered milk
1 ½ cups unsalted butter (12 ounces),unsalted butter
1 ½ pounds sweet potatoes (2 medium or 3 small),sweet potatoes
1 ½ teaspoons baking powder,mustard powder
1 ½ teaspoons chili powder,chili powder
1 ½ teaspoons garam masala**,garam masala
1 ½ teaspoons ground coriander,ground coriander
1 ½ tsp ground cinnamon,ground cinnamon
1 1/2 batch ginger-cardamom simple syrup,simple syrup
1 1/2 cinnamon stick,cinnamon stick
1 1/2 cup aged rum,aged rum
1 1/2 cup apple cider,apple cider
1 1/2 cup apple cider vinegar,apple cider vinegar
"1 1/2 cup cardamom pod, lightly crushed",cardamom pod
1 1/2 cup cognac,cognac
1 1/2 cup concord grape,concord grape
1 1/2 cup corn syrup,corn syrup
1 1/2 cup cranberry,cranberry
1 1/2 cup filtered water,water water
1 1/2 cup freshly squeezed lemon juice,lemon juice
1 1/2 cup ginger beer,ginger beer
1 1/2 cup granulated sugar,granulated sugar
1 1/2 cup ice cube,ice cube
"1 1/2 cup kosher salt, divided",kosher salt
"1 1/2 cup orange juice, fresh",orange juice
