"content","class","begins_with_num"
"1 tbsp extra virgin olive oil","2","1"
"1 tbsp granulated sugar","2","1"
"2 1/4 tsp rapid rise yeast","2","1"
"1 tsp kosher salt","2","1"
"2 1/2 oz whole wheat flour","2","1"
"1 cup water","2","1"
"10 oz all purpose flour","2","1"
"6 Slices sandwich bread, white, no crust","2","1"
"4 cups water","2","1"
"2 1/2 cups almond, sliced and blanched","2","1"
"1 clove garlic, peeled","2","1"
"3 tbsp sherry vinegar","2","1"
"1 1/4 tsp kosher salt","2","1"
"1/4 tsp cayenne pepper","2","1"
"1/2 cup extra virgin olive oil","2","1"
"1/8 tsp almond extract","2","1"
"2 tsp vegetable oil","2","1"
"1/3 cup almond, sliced and blanched","2","1"
"6 oz green grape, seedless, sliced, thin","2","1"
"3 cups half and half","2","1"
"1 cup heavy cream","2","1"
"1 vanilla bean, split and scraped","2","1"
"8 egg yolk","2","1"
"9 oz sugar, vanilla flavored if possible","2","1"
"2 tsp vanilla extract","2","1"
"1 lb tomato, cored and halved","2","1"
"2 cloves garlic, unpeeled","2","1"
"1 shallot, sliced thin","2","1"
"1 lb tomato, cored and coarsely chopped","2","1"
"1/8 tsp cayenne pepper","2","1"
"1/2 tsp kosher salt","2","1"
"2 tsp tomato paste","2","1"
"1/8 tsp smoked paprika","2","1"
"6 tbsp extra virgin olive oil","2","1"
"1 tsp sherry vinegar","2","1"
"1 1/2 oz ancho chile, dried, stemmed, seeded, torn into 1-inch pieces","2","1"
"2 cups beef broth","2","1"
"1 tbsp chipotle chile, canned in adobo, minced","2","1"
"2 tbsp vegetable oil","2","1"
"6 cloves garlic, minced","2","1"
"1/4 cup tomato paste","2","1"
"1 tsp cumin seed, ground","2","1"
"1 lb ground beef, 90% lean","2","1"
"1 tsp cumin seed, ground","2","1"
"1 tsp coriander seed, ground","2","1"
"6 oz monterey jack cheese, shredded","2","1"
"2 tbsp cilantro, minced","2","1"
"12 corn tortilla, 6-inch","2","1"
"2 oz monterey jack cheese, shredded","2","1"
"3 avocado, halved and seeded, flesh removed","2","1"
"8 wedges lime","2","1"
"1 cup sour cream","2","1"
"1/4 cup cilantro, minced","2","1"
"2 scallion, sliced thinly","2","1"
"1 lime, juiced","2","1"
"1/2 tsp kosher salt","2","1"
"1/2 tsp cumin seed, ground","2","1"
"1/2 tsp cayenne pepper","2","1"
"1/2 onion, diced","2","1"
"1 jalapeno, diced","2","1"
"2 plum tomato, seeded and diced","2","1"
"1 tbsp cilantro, minced","2","1"
"1 clove garlic, minced","2","1"
"2 onion, chopped fine","2","1"
"1 tbsp vegetable oil","2","1"
"2/3 cup raspberry","2","1"
"3 oz puffed brown rice","2","1"
"1 tbsp honey","2","1"
"1 egg white","2","1"
"1 egg yolk","2","1"
"1 egg","2","1"
"2 tsp granulated sugar","2","1"
"1/2 tsp vanilla extract","2","1"
"1/2 tbsp unsalted butter","2","1"
"2 tbsp creme fraiche, optional","2","1"
"3 tbsp flax seed oil","2","1"
"1 tbsp honey","2","1"
"7 oz marshmallow","2","1"
"3 oz slivered almond, toasted","2","1"
"1 1/2 oz dried blueberry","2","1"
"1 1/2 oz dried cherries","2","1"
"1 1/2 oz dried cranberry","2","1"
"8 egg yolk","2","1"
"1/2 cup sugar","2","1"
"3 cups whole milk","2","1"
"2 cups heavy cream","2","1"
"1 cup dark rum","2","1"
"1 cup brandy","2","1"
"8 egg white","2","1"
"1/4 cup sugar","2","1"
"1/2 tsp nutmeg, freshly grated","2","1"
"3 cups whole milk","2","1"
"3/4 cup sugar","2","1"
"3 large egg yolk","2","1"
"1/8 tsp kosher salt","2","1"
"3 tbsp cornstarch","2","1"
"1 cinnamon stick","2","1"
"2 tbsp unsalted butter, divided","2","1"
"1 tsp vanilla extract","2","1"
"1/2 tsp ground cinnamon","2","1"
"2 packets powdered gelatin","2","1"
"2 cups beef broth","2","1"
"3 tbsp unsalted butter","2","1"
"2 large carrot, peeled and minced","2","1"
"3 Ribs medium celery, minced","2","1"
"2 medium onion, peeled and minced","2","1"
"2 lbs ground beef","2","1"
"1 lb ground pork","2","1"
"1 lb ground veal","2","1"
"1/4 cup tomato paste","2","1"
"1 1/2 cups dry white wine","2","1"
"2 bay leaf","2","1"
"2 tsp kosher salt","2","1"
"2 tsp black peppercorn, freshly ground","2","1"
"1/2 tsp fish sauce","2","1"
"1 pinch nutmeg, freshly grated","2","1"
"2 tbsp unsalted butter","2","1"
"1/2 cup heavy cream","2","1"
"1/4 cup shallot, finely minced","2","1"
"3 cloves garlic, minced","2","1"
"1 tbsp tomato paste","2","1"
"1/4 tsp red pepper flakes","2","1"
"28 oz whole canned tomatoes, crushed by hand","2","1"
"1/3 cup vodka","2","1"
"1/2 cup heavy cream","2","1"
"1/2 tsp kosher salt","2","1"
"3/4 lb large shrimp, peeled and deveined, shells reserved","2","1"
"1/8 tsp baking soda","2","1"
"4 tbsp extra virgin olive oil","2","1"
"4 cloves garlic, thinly sliced","2","1"
"2 tsp red pepper flakes","2","1"
"1 1/2 tsp oregano","2","1"
"2 tbsp brandy","2","1"
"28 oz canned tomatoes, crushed by hand","2","1"
"1/2 cup clam juice","2","1"
"1 gal water","2","1"
"2 tbsp kosher salt","2","1"
"1 lb dried spaghetti","2","1"
"1/4 cup flat-leaf parsley, minced","2","1"
"2 tbsp extra virgin olive oil","2","1"
"2 cloves garlic, finely minced","2","1"
"4 tbsp dijon mustard","2","1"
"4 tbsp parsley, finely chopped","2","1"
"2 tbsp extra virgin olive oil","2","1"
"1 young rack of lamb, about 2 lb","2","1"
"2 tbsp unsalted butter","2","1"
"2 large leek, rinsed and roughly chopped, dark green parts discarded","2","1"
"1 qt chicken stock","2","1"
"2 medium russet potato, peeled and quartered","2","1"
"1 bay leaf","2","1"
"1 cup buttermilk","2","1"
"1/2 cup heavy cream","2","1"
"1/4 tsp nutmeg, freshly grated","2","1"
"1 tbsp chive, minced","2","1"
"1 cup heavy cream","2","1"
"2 cups whole milk","2","1"
"2 cloves garlic, smashed","2","1"
"2 small shallot, quartered","2","1"
"1/8 tsp nutmeg, freshly grated","2","1"
"6 sprigs thyme","2","1"
"2 tsp whole black peppercorn","2","1"
"1 1/2 tsp kosher salt","2","1"
"3 large russet potato","2","1"
"1 tbsp unsalted butter","2","1"
"2 oz parmigiano reggiano, grated","2","1"
"4 oz gruyere, grated","2","1"
"2 cups heavy cream","2","1"
"2 cups whole milk","2","1"
"8 egg yolk","2","1"
"9 oz sugar","2","1"
"4 clove","2","1"
"2 stars anise","2","1"
"2 Sticks cinnamon","2","1"
"1 pasilla de oaxaca","2","1"
"1 vanilla bean","2","1"
"1/2 tsp almond extract","2","1"
"1/2 tsp vanilla extract","2","1"
"2 tbsp extra virgin olive oil","2","1"
"3/4 cup red onion, finely chopped","2","1"
"1 pinch kosher salt","2","1"
"2 cloves garlic, minced","2","1"
"1 qt chicken stock","2","1"
"1 cup coarse cornmeal","2","1"
"3 tbsp unsalted butter","2","1"
"1 1/2 tsp kosher salt","2","1"
"1/2 tsp black peppercorn, freshly ground","2","1"
"2 oz parmesan, grated","2","1"
"2 tbsp vegetable oil","2","1"
"2 cups chianti","2","1"
"1 cup water","2","1"
"4 shallot, peeled and halved lengthwise","2","1"
"1 head garlic, separated but unpeeled","2","1"
"4 sprigs rosemary, fresh","2","1"
"2 bay leaf","2","1"
"2 tbsp black peppercorn, cracked","2","1"
"1 tbsp powdered gelatin","2","1"
"1 tbsp tomato paste","2","1"
"1 tsp anchovy paste","2","1"
"1 cup chianti","2","1"
"2 tsp black peppercorn, freshly ground","2","1"
"2 tsp cornstarch","2","1"
"1/2 cup chianti","2","1"
"5 lbs chuck roast, divided into 1-inch chunks","2","1"
"1 1/2 tsp kosher salt","2","1"
"1 lb vidalia onion, julienned 1/8""","2","1"
"1 lb red onion, julienned 1/8""","2","1"
"1 lb yellow onion, julienned 1/8""","2","1"
"6 tbsp unsalted butter","2","1"
"4 shallot, julienned 1/8""","2","1"
"1/2 cup dry sherry","2","1"
"2 qts chicken stock","2","1"
"2 sprigs thyme","2","1"
"1 bay leaf","2","1"
"1 tsp fish sauce","2","1"
"1 tsp apple cider vinegar","2","1"
"2 tsp black peppercorn, freshly ground","2","1"
"2 tsp kosher salt","2","1"
"1 loaf rustic bread, sliced and cut to fit in soup bowls","2","1"
"1 clove garlic, cut in half","2","1"
"2 tbsp unsalted butter, softened","2","1"
"1 lb gruyere, grated","2","1"
"2 tbsp chive, minced","2","1"
"8 cups fresh bing cherry, stemmed and pitted","2","1"
"1 cup sugar","2","1"
"1 tbsp citric acid","2","1"
"1 cup water","2","1"
"1 tsp saffron","2","1"
"3 cups 00 flour","2","1"
"9 egg yolk","2","1"
"1 tsp kosher salt","2","1"
"1/3 cup sugar","2","1"
"2 1/2 lbs granny smith apple, peeled, cored, and sliced","2","1"
"1/3 cup glucose syrup","2","1"
"2 tsp malic acid","2","1"
"1 1/2 tsp xanthan gum","2","1"
"2 1/2 cups half and half","2","1"
"3/4 cup glucose syrup","2","1"
"1/3 cup honey","2","1"
"1 tbsp kosher salt","2","1"
"2 1/2 cups whole milk","2","1"
"2 egg","2","1"
"1 tsp lemon juice","2","1"
"1/2 tsp dijon mustard","2","1"
"1 1/2 cups avocado oil","2","1"
"1 tsp kosher salt","2","1"
"8 ripe banana","2","1"
"3/4 cup sugar","2","1"
"1/2 tsp kosher salt","2","1"
"1 1/2 cups water","2","1"
"3/4 tsp yuzu juice","2","1"
"1 cup creme fraiche","2","1"
"2 tbsp lemon juice","2","1"
"2 tsp kosher salt","2","1"
"1 lb natural lump charcoal","2","1"
"3/4 lb applewood chip","2","1"
"5 lbs chicken back","2","1"
"5 lbs chicken neck","2","1"
"8 qts ice cube","2","1"
"1 cup leek, diced, white parts only","2","1"
"1/2 cup celery, diced","2","1"
"1/2 cup celery root, diced","2","1"
"1/2 cup shallot, diced","2","1"
"1/2 cup fennel bulb, diced","2","1"
"5 white peppercorn","2","1"
"1 bay leaf","2","1"
"1 sprig thyme","2","1"
"12 large egg yolk","2","1"
"1 cup sugar","2","1"
"1 pt half and half","2","1"
"1 pt heavy cream","2","1"
"1 pt whole milk","2","1"
"1 cup rum","2","1"
"1 cup cognac","2","1"
"1 cup bourbon","2","1"
"1/2 tsp kosher salt","2","1"
"1 tsp nutmeg, freshly grated","2","1"
"2 tbsp unsalted butter","2","1"
"2 yellow onion, chopped fine","2","1"
"1/4 cup candied ginger, minced","2","1"
"1 tbsp ginger, freshly grated","2","1"
"2 cloves garlic, peeled and smashed","2","1"
"2 tsp kosher salt","2","1"
"1 tsp sugar","2","1"
"2 lbs carrot, peeled and sliced 1/4"" thick","2","1"
"4 cups water","2","1"
"3/4 cup carrot juice","2","1"
"2 sprigs fresh thyme","2","1"
"1/2 tsp baking soda","2","1"
"3/4 cup carrot juice","2","1"
"1 tbsp apple cider vinegar","2","1"
"2 tbsp chive, minced","2","1"
"1/4 cup sour cream","2","1"
"1 tbsp unsalted butter","2","1"
"2 lbs cauliflower","2","1"
"4 oz sharp cheddar, grated","2","1"
"1/2 cup bread crumbs","2","1"
"1 egg","2","1"
"1 tsp kosher salt","2","1"
"1 tsp mustard powder","2","1"
"1/2 tsp smoked paprika","2","1"
"1/2 tsp black peppercorn, freshly ground","2","1"
"1/2 tsp cayenne pepper","2","1"
"1/2 cup heavy cream","2","1"
"1/2 oz cheddar, grated","2","1"
"8 bone-in chicken thigh, trimmed","2","1"
"1/3 cup soy sauce","2","1"
"13 1/2 oz coconut milk","2","1"
"1 cup apple cider vinegar","2","1"
"8 cloves garlic, peeled","2","1"
"4 bay leaf","2","1"
"1 tbsp black peppercorn, freshly ground","2","1"
"2 scallion, sliced thin","2","1"
"1 1/2 oz unsweetened cocoa powder","2","1"
"1 cup half and half","2","1"
"2 cups half and half","2","1"
"1 cup heavy cream","2","1"
"8 egg yolk","2","1"
"1 1/2 tsp vanilla extract","2","1"
"1/2 tsp almond extract","2","1"
"9 oz sugar, vanilla flavored if possible","2","1"
"1 egg yolk","2","1"
"2 tbsp heavy cream","2","1"
"1/2 cup sliced almond, toasted","2","1"
"1 3/4 oz sugar","2","1"
"5 oz all purpose flour","2","1"
"1/4 tsp kosher salt","2","1"
"6 tbsp unsalted butter","2","1"
"1 1/4 cups heavy cream","2","1"
"1/2 tsp espresso powder","2","1"
"1/4 tsp kosher salt","2","1"
"9 oz bittersweet chocolate, chopped fine","2","1"
"4 tbsp unsalted butter, thinly sliced","2","1"
"2 egg, lightly beaten and at room temperature","2","1"
"3 tbsp heavy cream","2","1"
"1 tbsp corn syrup","2","1"
"2 oz bittersweet chocolate, chopped fine","2","1"
"1 tbsp hot water","2","1"
"12 wisps orange zest","2","1"
"2 red grapefruit","2","1"
"3 navel orange","2","1"
"1 1/2 lbs sweet cherry, pitted and halved","2","1"
"1 tsp sugar","2","1"
"1 tsp unsalted butter","2","1"
"1/2 tsp kosher salt","2","1"
"1/2 cup pecan, coarsely chopped","2","1"
"3 tbsp high-quality extra virgin olive oil","2","1"
"1 small shallot, minced","2","1"
"1 tsp dijon mustard","2","1"
"4 oz watercress, torn into pieces","2","1"
"2/3 cup dried cherries","2","1"
"1 tsp lemon juice","2","1"
"2 tsp all purpose flour","2","1"
"1/8 tsp ground cinnamon","2","1"
"4 large egg","2","1"
"2/3 cup sugar","2","1"
"2 1/2 tsp vanilla extract","2","1"
"1/4 tsp kosher salt","2","1"
"1/2 cup all purpose flour","2","1"
"1 cup heavy cream","2","1"
"2/3 cup whole milk","2","1"
"1 tbsp unsalted butter","2","1"
"2 tsp sugar","2","1"
"8 oz masa harina","2","1"
"1 tsp vegetable oil","2","1"
"1/4 tsp kosher salt","2","1"
"1 cup warm water","2","1"
"1 tsp vegetable oil","2","1"
"1/4 cup orange juice, freshly squeezed","2","1"
"1/4 cup pure cranberry juice","2","1"
"1 cup honey","2","1"
"1 lb fresh cranberry","2","1"
"1 tsp orange zest, finely grated","2","1"
"1 tsp fresh lemon juice","2","1"
"2 tbsp unsalted butter, divided into 4 chunks","2","1"
"1/4 cup light brown sugar","2","1"
"2 medium peach, peeled and cut into eighths","2","1"
"1 oz candied ginger, finely minced","2","1"
"2 1/2 oz all purpose flour","2","1"
"1 tsp double-acting baking powder","2","1"
"1/8 tsp baking soda","2","1"
"1/8 tsp kosher salt","2","1"
"1/2 cup buttermilk, room temperature","2","1"
"1/3 cup sugar","2","1"
"1/2 tsp vanilla extract","2","1"
"1 tbsp unsalted butter, melted","2","1"
"2 lbs beet","2","1"
"2 cloves garlic, crushed and peeled","2","1"
"1 small red chile, seeded and diced","2","1"
"1 cup greek yogurt","2","1"
"1 1/2 tbsp date syrup","2","1"
"3 tbsp extra virgin olive oil","2","1"
"1 tbsp za'atar","2","1"
"1 tsp kosher salt","2","1"
"2 scallion, thinly sliced","2","1"
"2 tbsp hazelnut, toasted and crushed","2","1"
"2 oz goat cheese, softened and crumbled","2","1"
"2 lbs sugar, approximately","2","1"
"1 cup red wine vinegar","2","1"
"1 1/2 pints raspberry","2","1"
"10 inches parchment paper","2","1"
"3 cups water","2","1"
"1 tbsp unsalted butter","2","1"
"1/2 tsp kosher salt","2","1"
"12 small carrot, peeled","2","1"
"1/3 cup golden raisin, roughly chopped","2","1"
"1 tbsp water","2","1"
"2/3 cup green olive, pitted and chopped","2","1"
"1 shallot, minced","2","1"
"2 tbsp extra virgin olive oil","2","1"
"1 tbsp red wine vinegar","2","1"
"1/2 tsp fennel seed, ground","2","1"
"1/4 tsp kosher salt","2","1"
"4 1/2 feet parchment paper","2","1"
"125 g blanched almond flour","2","1"
"110 g egg white, left out overnight at room temperature","2","1"
"225 g icing sugar","2","1"
"1 pinch kosher salt","2","1"
"30 g granulated sugar","2","1"
"8 oz bittersweet chocolate, finely chopped","2","1"
"1 cup heavy cream","2","1"
"4 tbsp unsalted butter, room temperature","2","1"
"1 1/2 cups ketchup","2","1"
"1 cup apple cider vinegar","2","1"
"1/4 cup worcestershire sauce","2","1"
"1/4 cup soy sauce","2","1"
"1 cup brown sugar","2","1"
"2 tbsp mustard powder","2","1"
"1/4 cup chile powder","2","1"
"1 tsp ground ginger","2","1"
"2 cloves garlic, minced","2","1"
"2 tbsp vegetable oil","2","1"
"2 tbsp extra virgin olive oil","2","1"
"1 clove garlic, minced","2","1"
"1 onion, roughly chopped","2","1"
"28 oz tomato puree","2","1"
"1/2 cup brown sugar, packed","2","1"
"1/4 cup apple cider vinegar","2","1"
"1 tbsp tomato paste","2","1"
"1/2 tsp kosher salt","2","1"
"1/2 tsp mustard powder","2","1"
"1/8 tsp clove, ground","2","1"
"1/8 tsp allspice, ground","2","1"
"1/8 tsp cayenne pepper","2","1"
"6 oz bacon, chopped","2","1"
"2 large yellow onion, finely chopped","2","1"
"1 1/2 tsp kosher salt","2","1"
"1/2 tsp black peppercorn, freshly ground","2","1"
"1 spice bag","2","1"
"3 clove","2","1"
"1 pod anise","2","1"
"3 Ribs celery, minced","2","1"
"3 cloves garlic, minced","2","1"
"1 tbsp olive oil","2","1"
"8 oz coarse ground beef chuck","2","1"
"8 oz coarse ground pork butt","2","1"
"1/2 cup white wine","2","1"
"1/2 cup white wine","2","1"
"1 oz dried porcini mushroom, finely chopped","2","1"
"3/4 cup evaporated milk","2","1"
"3 cups beef broth","2","1"
"1 tbsp olive oil","2","1"
"3 cloves garlic, sliced","2","1"
"56 oz canned tomatoes","2","1"
"1 tbsp dried oregano","2","1"
"1 tbsp dried basil","2","1"
"1 tbsp dried marjoram","2","1"
"1/4 cup white wine","2","1"
"2 tbsp tomato paste","2","1"
"1 tbsp ketchup","2","1"
"1 tbsp sherry vinegar","2","1"
"2 tsp worcestershire sauce","2","1"
"1 tbsp olive oil","2","1"
"8 oz unsalted butter","2","1"
"12 oz bread flour","2","1"
"1 tsp kosher salt","2","1"
"1 tsp baking soda","2","1"
"2 oz granulated sugar","2","1"
"8 oz light brown sugar","2","1"
"1 large egg","2","1"
"1 large egg yolk","2","1"
"1 oz whole milk","2","1"
"1 1/2 tsp vanilla extract","2","1"
"12 oz chocolate chip","2","1"
"200 g unsalted butter","2","1"
"300 g superfine sugar","2","1"
"1 clementine, zested","2","1"
"1 lemon, zested","2","1"
"1 1/4 cups ground almond","2","1"
"5 egg, beaten","2","1"
"1 1/4 cups ground almond","2","1"
"100 g all purpose flour, sifted","2","1"
"1 pinch kosher salt","2","1"
"4 clementine, juiced","2","1"
"1 lemon, juiced","2","1"
"80 g superfine sugar","2","1"
"2 clementine, zested","2","1"
"4 oz salt pork, cubed","2","1"
"2 tbsp unsalted butter","2","1"
"2 onion, chopped fine","2","1"
"8 sprigs thyme, leaves removed","2","1"
"2 bay leaf","2","1"
"2 lbs yukon gold potato, cubed 1/2""","2","1"
"5 cups fish stock","2","1"
"3 lbs boneless, skinless haddock","2","1"
"1 1/2 cups heavy cream","2","1"
"2 tbsp parsley, minced","2","1"
"2 tbsp chive, minced","2","1"
"2 cups oyster cracker","2","1"
"2 lbs white fish, bones and heads only, gills removed","2","1"
"2 tbsp kosher salt","2","1"
"2 tbsp vegetable oil","2","1"
"1 cup yellow onion, diced","2","1"
"1 cup fennel bulb, diced","2","1"
"1 medium leek, minced","2","1"
"2/3 cup celery, diced","2","1"
"2 cloves garlic, crushed","2","1"
"1 cup dry white wine","2","1"
"2 sprigs parsley","2","1"
"2 sprigs tarragon","2","1"
"2 bay leaf","2","1"
"1 tsp black peppercorn","2","1"
"2 1/2 oz all purpose flour","2","1"
"2 2/3 oz water, 105 degrees","2","1"
"1/4 tsp rapid rise yeast","2","1"
"12 1/2 oz all purpose flour","2","1"
"10 oz water, 105 degrees","2","1"
"1 tsp rapid rise yeast","2","1"
"2 tsp kosher salt","2","1"
"4 tbsp extra virgin olive oil","2","1"
"1 tsp kosher salt","2","1"
"2 tbsp rosemary, minced","2","1"
"3 Slices thick-cut bacon, cut into 1/2"" pieces","2","1"
"1 large onion, sliced thin","2","1"
"1/4 tsp kosher salt","2","1"
"2 tsp fresh thyme, chopped","2","1"
"1/2 tsp black peppercorn, freshly ground","2","1"
"1 tsp kosher salt","2","1"
"3 lbs yukon gold potato, peeled and sliced 1/8"" thick","2","1"
"2 tbsp unsalted butter, divided into 4 pieces","2","1"
"1 1/4 cups chicken broth","2","1"
"1 1/4 cups beef broth","2","1"
"12 blades mace","2","1"
"10 inches cinnamon stick","2","1"
"25 clove","2","1"
"25 green cardamom","2","1"
"12 black cardamom","2","1"
"10 bay leaf","2","1"
"3 tbsp cumin seed","2","1"
"1 1/2 tbsp black peppercorn","2","1"
"1 tsp nutmeg, freshly grated","2","1"
"1 tbsp vegetable oil","2","1"
"1 turkey neck, cut in half","2","1"
"1 turkey back, cut in half","2","1"
"1 batch turkey giblets","2","1"
"1 small yellow onion, quartered","2","1"
"1 medium carrot, quartered","2","1"
"1 rib celery, quartered","2","1"
"1/4 tsp kosher salt","2","1"
"6 cups water","2","1"
"2 sprigs thyme","2","1"
"1 sprig rosemary","2","1"
"1 bay leaf","2","1"
"1 tsp black peppercorn","2","1"
"2 cups giblet stock","2","1"
"1/2 cup giblet stock","2","1"
"1 tbsp all purpose flour","2","1"
"1/2 cup giblet stock","2","1"
"1 tbsp potato starch","2","1"
"1 tsp rosemary, minced","2","1"
"1 tsp sage, minced","2","1"
"1 tsp thyme, minced","2","1"
"1 tsp kosher salt","2","1"
"1/4 tsp black peppercorn, freshly ground","2","1"
"2/3 cup molasses","2","1"
"3/4 cup stout beer","2","1"
"1/2 tsp baking soda","2","1"
"5 1/4 oz light brown sugar","2","1"
"1 3/4 oz granulated sugar","2","1"
"1 1/2 cups all purpose flour","2","1"
"2 tbsp ground ginger","2","1"
"1/2 tsp double-acting baking powder","2","1"
"1/2 tsp kosher salt","2","1"
"1/2 tsp ground cinnamon","2","1"
"1/2 tsp black peppercorn, freshly ground","2","1"
"2 large egg","2","1"
"1/3 cup vegetable oil","2","1"
"2 tbsp ground ginger, finely grated","2","1"
"2 cups cilantro, leaves only","2","1"
"1 1/2 cups flat-leaf parsley, leaves only","2","1"
