"content","class"
"Heat oven to 400 and heat chiles in 12-inch skillet until fragrant, 2-3 minutes.  Turn frequently to avoid burning.  Transfer to a medium saucepan.",1
"Add to toasted chiles and bring to a boil; then, immediately remove from heat.  Let stand 5 minutes.",1
"Add to broth mixture",1
"Heat oil in skillet until shimmering; then, add onions and cook until translucent; 5 minutes.",1
"Add and cook until fragrant; 1 minute.  Transfer half of onion mixture to a bowl and set aside.",1
"Add to remaining onion mix and simmer until tomatoes start to brown; 3-5 minutes.  Add to broth mixture and process with an immersion blender until smooth.  Add salt to taste.",1
"Heat oil in skillet until shimmering.  Add beef and seasonings to skillet and brown, breaking beef into chunks.  Add reserved onion mixture and continue to cook until beef is thoroughly browned, 3-4 minutes.  Return to bowl that contained the reserved onion mixture.",1
"Add to beef mixture along with 1/4 cup of sauce.  Stir to combine and salt to taste.  Spread 1/2 cup of sauce on bottom of 13 X 9 baking dish.",1
"Brush both sides of all tortillas lightly with oil.  Arrange tortillas on baking sheet and bake about 5 minutes, or until warm and flexible.",1
"Add 1/4 cup filling to each tortilla.  Roll each tortilla tightly around filling and place, seam side down, in two rows in baking dish.  Spread the remaining sauce over the tortillas.  Add cheese and bake until it is lightly browned, about 15 minutes.",1
"Add scallions and cilantro to dish, and serve with sour cream and limes.",1
"Add to bowl and toss to coat.  Drain, reserving juice.",1
"Add to avocados and mash using a potato masher or a fork.",1
"Fold into avocado mash along with the reserved lime juice.  Let sit at room temperature for 1 hour.  Serve.",1
"Combine in a small saucepan and bring to a simmer.  Cook until thickened and syrupy, 8-10 minutes.",1
"Whisk with a pinch of sugar until foam supports soft peaks.",1
"Whisk until combined.  Gently fold in the whipped egg white.",1
"Melt in a small nonstick skillet and cook until foaming subsides.  Add the egg mixture and cook undisturbed until mixture is mostly set.  Gently flip with a wide-headed spatula and cook for one more minute.  Add berry filling to center, fold omelet over filling, and serve with creme fraiche.",1
"Preheat oven to 425.  Lightly oil a 13X9 pan.",1
"Spread on a sheet pan and toast in the oven for about 4 minutes, stirring occasionally to prevent burning.",1
"Place in bain marie (a large mixing bowl set over simmering water).  Stir until marshmallows are melted, about 5 minutes.",1
"Add very quickly along with the toasted puffed rice.  Using an oiled spatula or oiling your hands, spread the mixture evenly into the oiled pan.  Cool completely and cut into squares.",1
"Beat until smooth and slightly lightened",1
"Beat into egg yolks and continue beating until yolks are light yellow and fall off whisk in long, smooth ribbons",1
"Add to yolk mixture",1
"Beat until foamy but still liquid",1
"Add to whites and beat until stiff peaks form.  Fold gently into yolk mixture",1
"Add and serve",1
"Bring to a boil in small saucepan",1
"Combine in separate, heavy saucepan.  Temper in 1/4 cup of the hot milk, stir to combine, and then slowly add the remaining milk.",1
"Add and bring to a boil, whisking continuously.  When the mixture reaches the consistency of yogurt, continue cooking for 1 more minute.  Remove from heat and discard cinnamon stick.",1
"Stir into hot mixture; keep stirring until butter is completely dissolved.  Strain the custard into a large bowl.  To serve hot, add to bowls immediately; to serve cold, refrigerate for at least four hours or until gelled.",1
"Add to top of individual cups and serve.",1
"Combine in large container and set aside.",1
"Melt in a large dutch oven until foamy",1
"Add to butter and cook until translucent, 5-7 minutes.",1
"Add to pot and cook, breaking up large pieces, until well-browned, about 15 minutes.",1
"Add to pot and cook until well-browned, 5-7 minutes, breaking meat into small pieces.",1
"Add and cook for 2 minutes",1
"Add and cook until alcohol is boiled off, about 5 minutes, continuously scraping bottom of pot to dissolve browned bits",1
"Add to meat and stir in reserved broth, making sure to include reconstituted gelatin.  Bring to a low simmer.",1
"Stir into pot and simmer until sauce is thickened and you can see the bottom of the pan after dragging a spoon through it, about 3 hours.  Discard bay leaves and any fat that has pooled on the surface.",1
"Add along with more salt to taste.  Use right away, refrigerate for up to a week, or freeze for up to several months.",1
"Melt in medium saucepan.",1
"Add and cook until lightly browned, 5 minutes.",1
"Stir in and cook until fragrant, about 1 minute.  Remove from heat.",1
"Add and return to simmer, cooking until alcohol is removed from sauce, about 10 minutes,",1
"Optionally, puree the sauce with an immersion blender if you prefer it smooth.",1
"Stir into sauce and heat until just warm, 2 minutes.  Add salt to taste.  Serve immediately, refrigerate for up to a week, or freeze for up to several months.",1
"Toss together in a large bowl and set aside.",1
"Heat in large skillet until shimmering.  Add reserved shells and cook until all pink, about 5 minutes.  Remove and discard the shells, taking care to reserve the oil.

Return the skillet to the heat and add the shrimp, cooking until lightly browning, about 3 minutes.  Transfer the shrimp to a plate and set aside.",1
"Add to skillet and return to medium heat.  Cook until fragrant and garlic is beginning to brown, about 3 minutes.",1
"Add and cook until mostly evaporated.",1
"Add and bring to a simmer.  Add salt to taste.",1
"Bring to a boil while preparing the rest of the recipe.",1
"Cook in the large pot of boiling water until al dente.  Drain, reserving 1 cup of the cooking liquid.  Add pasta to the sauce along with a splash of the cooking water to loosen.  Add the shrimp and simmer until the sauce reduces and can cling to the pasta.  Use more of the reserved pasta water to loosen the sauce if it becomes too dry.  If necessary, add more salt to taste.",1
"Stir into sauce and serve immediately.",1
"Combine and stir into a paste.  Coat the meat side of the rack with the paste.  Place in a heavy baking pan, coated side up, and roast for 20-25 minutes or until golden brown on the outside but still pink on the inside.  If the bones are browning or smoking, cover them with aluminum foil.  Carve into chops and serve two to each guest.",1
"Preheat oven to 500 F.",1
"Heat in large dutch oven until melted.",1
"Add and reduce heat to low.  Cook until soft but not browned, 10-15 minutes.",1
"Add along with salt and pepper, and bring to a boil.  Reduce to a simmer and cook for 15 minutes, or until potatoes are falling apart.  Discard bay leaf.",1
"Remove potatoes from soup and process soup with an immersion blender until it is very smooth, about 2 minutes.  Return the soup to the clean pot.",1
"Press potatoes through a potato ricer into the soup.",1
"Whisk into soup and bring to a simmer, whisking continuously.",1
"Whisk into soup and finish seasoning with salt and fresh black pepper.  Serve immediately.",1
"Combine in a saucepan and bring just to a boil.  Remove from heat, cover, and steep for 1 hour.",1
"Return mixture to a boil and immediately strain into a large, heatproof bowl, pressing lightly on solids.",1
"Slice directly into hot cream using a mandoline on 1/8 inch setting.  Stir to coat.",1
"Grease a 2-quart baking dish.  Preheat oven to 300 F.",1
"Set aside half the grated cheese.  Lay potatoes on bottom of dish in a single layer, then add some of the cheese.  Continue in this way until the potatoes and half the cheese have been used up.  Pour the remaining milk mixture over the cheese.  Bake until potatoes are tender and surface is slightly brown, about 1 1/2 hours.",1
"Top with reserved cheese mixture and broil until nicely and evenly browned.  Rest for 30 minutes and serve.",1
"Combine in a large saucepan and bring just to a simmer.",1
"Whip until smooth and slightly lightened.",1
"Add to yolks and whip until light yellow and falling off the whisk in long ribbons.  Temper in 1/3 of the cream mixture, stir to combine, and add the remaining cream mixture.  Whisk to combine thoroughly and return to the saucepan over medium heat.",1
"Add to mixture and bring temperature to 170 F, or until just thick enough to coat the back of a spoon.  Remove from heat and steep for 30 minutes.  Strain into a large bowl.",1
"Stir into strained base and refrigerate until cool enough to process, usually at least 4 hours. Cover with plastic wrap only after mixture is cool enough not to form condensation.  Once cool, process in an ice cream maker and serve or freeze.",1
"Preheat oven to 350 F.",1
"Heat in a large, oven safe saucepan",1
"Add to saucepan and sweat until onions are translucent but not browned, about 5 minutes.",1
"Add and cook until fragrant, about 1 minute.",1
"Add and turn the heat up to high.  Bring to a boil.",1
"Add, while whisking, until incorporated. Cover the pot and place it in the oven, stirring every 10 minutes, until the polenta is creamy, about 40 minutes total.",1
"Add and stir until completely incorporated.",1
"Add and stir in until incorporated. Serve immediately, or place in the refrigerator to set. If setting and serving later, cut into squares and saute to serve.",1
"Toss together and let sit for 30 minutes at room temperature. Preheat oven to 300 F.",1
"Add to large, heavy dutch oven, and brown the beef in batches, taking care not to overcrowd the pan.",1
"Add to pot with all the beef. Transfer to oven and cook until tender, about 2 1/2 hours.  Stir the pot after 1 hour.  Remove the beef and strain the sauce. Remove excess fat from the sauce and return to the now-clean pan.",1
"Add to sauce and bring to a boil, reducing until it is the consistency of cream, about 15 minutes.",1
"Dissolve the cornstarch in the wine; then, add to the sauce and cook gently just until the cornstarch thickens. Adjust the sauce with salt; then, add the beef back to the sauce and serve once it is just warmed through.",1
"Melt in large dutch oven until foamy.",1
"Add to dutch oven and cook over medium-high heat until tender, about 10 minutes. Reduce heat to medium-low and cook, stirring frequently, until onions are sweet and dark brown; this will take an hour or two. If the onions are on the verge of burning, add a little water to the pot and scrape the bottom.",1
"Add and cook until alcohol is boiled off, about 2 minutes.",1
"Add and bring to a simmer over higher heat; then, reduce heat back to medium-low and simmer for 20 minutes.",1
"Add to pot while discarding thyme and bay. Adjust salt and pepper to taste.",1
"Toss together. Puree in a blender until smooth; then, pass through a fine mesh strainer. Working quickly to avoid browning of the cherries, process in an ice cream maker and transfer to freezer.",1
"Butter each slice of bread; then, rub each slice with a clove of garlic until it is fragrant.",1
"Spoon a small amount of broth into the bottoms of four ovenproof soup bowls. Add one slice of toast to each bowl and top with some grated cheese. Add more broth and onions to nearly fill the bowl; then top each bowl with another slice of toast, pushing them down until they are nearly submerged. Top the bowls with the remaining cheese.",1
"Place the bowls on a rimmed baking sheet and move the sheet under the broiler, cooking until the cheese is melted and browned, 1-3 minutes.",1
"Garnish and serve.",1
"Bring to boil in a small saucepan and reduce to 1/4 cup. Strain.",1
"Pour onto a large, solid work surface and create a large well in the middle.",1
"Add to center of well along with 1 tbsp of the saffron liquid. Work flour and liquid together from the center of the well using a fork. When the dough has come together, knead it for 10 minutes; the result should be firm and elastic. If the dough is too tacky, add a little extra flour. Wrap tightly in plastic wrap and refrigerate for 30 minutes; then, process in a pasta press.",1
"Place in a sous vide bag and vacuum seal. Place in a large pot of boiling water and cook until tender, about 20 minutes. Remove from bag and place in blender.",1
"Add to blender with apples and puree until completely smooth. Pass through a fine-mesh strainer and chill over ice, stirring to prevent premature freezing. Process in an ice cream maker and freeze immediately.",1
"Combine in a medium saucepan on medium heat. Bring to a strong simmer, or just under a boil.",1
"Add and combine with a hand mixer. Strain and cool over ice, stirring to prevent premature freezing. Freeze in an ice cream maker and transfer to a freezer.",1
"Place in bowl of food processor.",1
"With the food processor running, slowly drizzle in the oil and continue blending until it is fully emulsified.",1
"Add to mayonnaise and store for up to 3 days.",1
"Preheat oven to 350 F.",1
"Place bananas on a baking sheet, place in the oven, and roast until the bananas are brown and runny, about 30 minutes. Peel them and add to blender.",1
"Add to blender and process until smooth. Strain.",1
"Stir into mixture and chill over ice, stirring to prevent premature freezing. Process in an ice cream maker and move to freezer to set.",1
"Whisk together in a small pan. Set in a larger container filled with ice.",1
"Soak in cold water for 10 minutes.",1
"Line a large cast-iron skillet with heavy-duty aluminum foil. Place the charcoal in the pan and set over high heat until the coals are white-hot.",1
"Drain the applewood chips, and place 3/4 of them over the coals until they begin to smoke. Once smoking, place the skillet in the oven on the bottom or lowest rack (do not turn the oven on). Place the creme fraiche with its ice bath on the highest oven rack that will accommodate it. Taking care the the creme fraiche remains chilled, smoke for 2 hours, adding reserved applewood chips if the smoke begins to subside. Remove creme fraiche to an airtight container and store for up to 3 days.",1
"Rinse under cold, running water for 5 minutes, and place in a large stock pot. Proportions of backs and necks are not important; total should be 10 lbs.",1
"Add to stock pot and bring to a simmer over medium heat. Do not boil. Once simmering, skim foam and fat from surface.",1
"Add to stock pot.",1
"Add to a sachet and place in the stock pot.",1
"Simmer the stock for 3 hours, skimming every 30 minutes. Strain and chill over ice to prevent spoiling. Use immediately, move to the refrigerator for up to 3 days, or move to the freezer for up to a month.",1
"Beat together in a very large bowl until the yolks are lightened in color and fall of the whisk in long ribbons.",1
"Combine in a separate container and beat slowly into the yolk mixture.",1
"Move mixture to stopper-top bottles and store in the refrigerator for at least two weeks and up to a year.",1
"Add and serve.",1
"For the sauce: Place tomatoes in a fine mesh strainer, reserving the liquid, and crush them with your hands. Transfer the tomatoes to a food processor with the olive oil, garlic, sugar, salt, oregano, and red pepper flakes, and process for 30 seconds or until smooth.",1
"Spread 1 tbsp olive oil onto a 9-inch pie pan. Transfer the dough to the greased pie pan and press into an 8-inch round. Cover with plastic wrap and refrigerate for 12-24 hours.",1
"Combine in a cocktail shaker with no ice and shake for 20 seconds to thoroughly combine.",1
"For the dough: using a wooden spoon, stir together flour, salt, and yeast. Add warm water and mix until the flour is mostly moistened. Knead with your hands for about 1 minute or until the dough forms a sticky ball.",1
"Melt in medium saucepan over medium heat.",1
"Add and cook until onions are softened but not browned, 5-7 minutes.",1
"Add and increase heat to high. Bring to a simmer, and cook, covered, on medium-low heat, until the carrots are very tender, 20-25 minutes. When the soup is done cooking, process it to a very smooth consistency with an immersion blender.",1
"Add and stir into soup.",1
"Add and serve.",1
"Preheat oven to 400 F.",1
"Use to grease an 11 X 17 baking dish.",1
"Trim off leaves and trim curds into evenly-sized, small pieces. Place in a bowl covered with a plate and microwave, covered, for 5 minutes. Rest covered for 5 minutes and uncovered for an additional 5 minutes.",1
"Combine in a large bowl",1
"Microwave for 30 seconds and add to cheddar mixture. Rub the steamed cauliflower to break it into florets and stir into the cheddar mixture. Add to greased baking dish and bake for 20 minutes.",1
"Sprinkle on the cauliflower and broil for about 5 minutes, or until bubbly and browning. Rest for 10 minutes and serve.",1
"Toss together in large bowl and refrigerate for 30 minutes.",1
"Remove chicken, reserving soy sauce. Add chicken, skin-side down, to a large nonstick skillet. Cook over medium-high heat for 7-10 minutes or until browned.",1
"Whisk into reserved soy sauce.",1
"Remove chicken from skillet and discard excess rendered fat. Return chicken to skillet, skin side down, and add coconut milk mixture. Simmer, uncovered, for 20 minutes; then, flip the chicken and continue to cook for another 15 minutes. Remove the chicken when it has reached an internal temperature of 175 degrees.",1
"Remove the chicken to a place and reduce the sauce until it is thick enough to coat the back of a spoon. Pour the sauce over the chicken.",1
"Add to the chicken and serve.",1
"Whisk in medium saucepan until combined.",1
"Add and stir to combine. Bring just to a simmer, stirring to prevent scorching, and remove from heat.

Note: for substitution purposes, 2 cups of whole milk plus 2 cups of heavy cream can be used in place of the 3 cups of half-and-half plus one cup of heavy cream.",1
"Whisk in a large bowl until slightly lightened in color.",1
"Whisk into the yolks until the mixture is lightened in color and falls off the whisk in long ribbons. Temper in 1/3 of the cream mixture and stir to combine; then, add the remaining cream mixture and whisk until thoroughly combined. Return to gentle heat and cook to 170 degrees F. Cool for 30 minutes.",1
"Whisk into mixture and add to refrigerator, covering after 1 hour to prevent condensation on the lid or covering. Cool for at least 4 hours and then process in an ice cream maker. For soft-serve consistency, serve immediately; for firmer consistency, freeze overnight.",1
"Beat together in a small bowl.",1
"Spin in food processor until almonds are finely ground, 20 seconds.",1
"Add to food processor and pulse to combine.",1
"Add and pulse to combine.",1
"With processor running, drizzle in egg mixture until it is fully incorporated. Process for another 15 seconds, or until the dough forms a ball. Transfer to a large sheet of plastic wrap and form into a roughly 6-inch disk. Refrigerate for at least 30 minutes or up to several days.",1
"Place disk between two sheets of plastic and roll out into an 11"" diameter circle. Refrigerate once more, on a baking sheet, until firm again, about 15 minutes. Preheat oven to 375 F.",1
"Oil tart pan if not nonstick. Press dough into prepared pan and line dough with aluminum foil, oiled on the dough side to prevent sticking. Fill the foil with pie weights and bake for 25 minutes, rotating halfway through. Remove the foil and weights and bake for another 10 minutes or until the crust is golden brown. Remove and cool the crust, and reduce the oven heat to 250 F.",1
"Simmer in a small saucepan until solids are dissolved.",1
"Place in heatproof bowl and pour in the hot cream mixture. Cover for five minutes; then, whisk gently until smooth.",1
"Add to chocolate mixture and whisk until smooth.",1
"Pass through  a fine mesh strainer and into the chocolate; whisk until fully incorporated. Pour the mixture into the tart pan; pop any bubbles on the surface with a fork. Bake for 30-35 minutes or until just starting to crack. Cool completely.",1
"Supreme the citrus: cut away all the peel from the flesh of the fruit; then, cut the fruit wedges from between the membranous dividers. Alternatively, dissolve 1/8 tsp pectic enzyme in 1 gallon of water, peel the citrus, place it in the pectic solution, and place the solution in the refrigerator for several days or until membrane is completely dissolved.",1
"Bring to simmer together over medium heat. Remove from heat.",1
"Add to hot cream mixture, rest for 5 minutes, and whisk to incorporate.",1
"Add and combine until glossy. With the tart at room temperature, pour the mixture into its center and tilt to distribute. Eliminate any bubbles.",1
"Add to center of still-wet glaze.",1
"Toss with fruit and let sit for 15 minutes in a strainer set over a bowl.",1
"Melt in saucepan.",1
"Add and toast, moving constantly, until fragrant, 2-3 minutes. Transfer to a paper-towel-lined plate and set aside.",1
"Drain fruit, reserving juice, and transfer to a platter. Drizzle with olive oil.",1
"Shake together with 2 tbsp of reserved juice in a small, lidded mason jar.",1
"Toss together with dressing; arrange on top of fruit and top with toasted pecans. Serve.",1
"Preheat oven to 425 F with 12-inch skillet on bottom rack.",1
"Roast, cut-side up, until dry and tender, about 15 minutes.",1
"Toss with roasted cherries and set aside for 5 minutes.",1
"Combine and sprinkle over cherries; toss to coat.",1
"Whisk together until smooth and pale, about 1 minute.",1
"Incorporate into egg mixture; whisk until completely smooth.",1
"Whisk into egg mixture.",1
"Add to hot skillet from oven and tilt to distribute. Quickly add the batter while the pan is still hot. Distribute the cherries evenly throughout the batter and return to the oven until the mixture is completely cooked through, about 20 minutes. Cool on a wire rack for 15 minutes.",1
"Sprinkle evenly over clafoutis. Optionally, caramelize the sprinkled sugar with a kitchen torch. Serve.",1
"Cut a sandwich bag down the sides to unfold it into a long rectangle. Line a large plate or your counter with 2 damp dish towels.",1
"Mix together in large bowl.",1
"Stir into dough with a spatula. Using your hands, form into a soft dough, adding water 1 tbsp at a time until the dough is the consistency of putty. Cover and set aside for 5 minutes.",1
"Heat in 8-inch nonstick skillet until shimmering. Wipe the pan with a paper towel so that only a thin layer of oil remains.",1
"Scoop 1 oz balls from the dough. Place on one half of the opened sandwich bag, fold the other half over, and press with a glass pie plate or casserole to form 6"" tortillas. Cook in the skillet for 30 seconds on one side, 1 minute on the other, and a final 30 seconds on the first side. Serve immediately or store in a zip-top bag for up to a few days.",1
"Combine and bring to a boil in a large saucepan. Reduce to a simmer and cook for 5 minutes.",1
"Add and simmer for 15 minutes, or until cranberries have burst and the mixture is slightly thickened. Cool for 5 minutes.",1
"Preheat oven to 350 F.",1
"Add and spoon into a mold. Serve immediately or refrigerate for at least 12 hours to set.",1
"Divide ingredients evenly among 4 ramekins.",1
"Sift together in a bowl.",1
"Combine in another bowl and pour in four even batches into ramekins over peaches. Cook for 20-25 minutes. Once done, extract by running a paring knife around the boundary of the cake and overturning each ramekin onto a plate. Serve alone or with ice cream.",1
"Preheat oven to 400 F.",1
"Wash and place in a roasting pan. Cook, uncovered, for about an hour, or until a knife slides easily into the center. Peel and cut each into coarse chunks. Cool.",1
"Add to food processor with beets and process into a smooth paste, 1-2 minutes. Transfer to a large mixing bowl.",1
"Add and stir in, adding more salt if necessary.",1
"Add to top of puree along with more olive oil to taste. Serve.",1
"Combine in a nonreactive bowl, cover, and macerate in the refrigerator for 3 days.",1
"Mash the raspberries and strain them to remove solids. Measure the resulting liquid, and for every 1/2 cup, add 1/2 lb of sugar. Add sugar and liquid to a medium saucepan.",1
"Simmer gently for 15 minutes. Cool and keep in a squeeze bottle for up to 3 months.",1
"Cut into a 10"" diameter circle and cut a small hole in the center of the circle.",1
"Bring to a simmer in a 12-inch skillet over medium heat.",1
"Remove pan from heat, add carrots in a single layer, and cover with a parchment round. Cover with parchment round and pan lid and let stand for 20 minutes.",1
"Bring back to simmer with no lid, but leaving the parchment in place. Simmer over medium-low heat until the water is almost all evaporated and the carrots are tender, about 45 minutes. Discard the parchment, increase the heat, and cook while constantly agitating the pan for 2-5 minutes or until the pan is dry and the carrots are lightly glazed.",1
"Microwave together for 1 minute and let stand until the raisins are plump, about 5 minutes.",1
"Add to raisins and stir to combine. Serve atop the glazed carrots.",1
"On 2 18-inch pieces of parchment paper (each sheet big enough to cover your baking sheets), draw 1"" circles, separated by 2"", as a template for piping the cookies. Place each parchment segment on its own baking sheet, marked side down.",1
"Sift together twice.",1
"Whip together in a large, clean, dry bowl until somewhat foamy.",1
"Increase mixing speed to high, add sugar gradually, and whip until the foam is white and shiny and supports stiff peaks. Then, gently fold in the sugar and almond flour mixture until it is completely incorporated and the mixture flows lazily.",1
