"content","class","begins_with_num"
"1 3/4 oz celery juice, fresh","2","1"
"12 2/3 oz blanco tequila","2","1"
"2/3 oz unsalted butter","2","1"
"1/4 oz fava beans","2","1"
"1/8 oz rye whiskey","2","1"
"4 1/2 oz lime juice, fresh","2","1"
"12 2/3 oz molasses","2","1"
"1/2 oz mezcal","2","1"
"3/4 oz fernet branca","2","1"
"2 1/2 oz coconut oil, solid","2","1"
"2/3 oz simple syrup","2","1"
"3/4 oz apple brandy","2","1"
"1/2 oz orange marmalade","2","1"
"2/3 oz ice cube","2","1"
"1/2 oz gin","2","1"
"4 2/3 oz tomato puree","2","1"
"1/3 oz semisweet chocolate, roughly chopped","2","1"
"3/4 oz lime juice","2","1"
"1/4 oz absinthe","2","1"
"1/3 oz sugar, vanilla flavored if possible","2","1"
"3 1/3 oz lime juice","2","1"
"1/4 oz lime juice, freshly squeezed","2","1"
"3 1/4 oz ruby port","2","1"
"4 1/8 oz cynar","2","1"
"1/2 oz white rum","2","1"
"2/3 oz salt pork","2","1"
"2/3 oz cointreau","2","1"
"3/4 oz benedictine","2","1"
"1/2 oz rye whiskey","2","1"
"3/4 oz cointreau","2","1"
"1/3 oz grand marnier","2","1"
"1 1/8 oz pisco","2","1"
"1/2 oz dry vermouth","2","1"
"1 1/4 oz light brown sugar","2","1"
"2/3 oz all purpose flour","2","1"
"1/4 oz watercress, fresh","2","1"
"1/3 oz freshly squeezed lime juice","2","1"
"3 1/4 oz tequila","2","1"
"1/4 oz campari","2","1"
"2/3 oz dry vermouth, chilled","2","1"
"1/8 oz cremini mushroom, quartered","2","1"
"12 2/3 oz white rum","2","1"
"1/8 oz maraschino liqueur","2","1"
"3/4 oz pineapple juice","2","1"
"1/4 oz cognac","2","1"
"1/2 oz molasses simple syrup","2","1"
"1/8 oz ice cube","2","1"
"1/2 oz toasted pistachio, roughly chopped","2","1"
"2/3 oz dry vermouth","2","1"
"1/4 oz cognac","2","1"
"2 1/8 oz sharp cheddar, grated","2","1"
"1 1/2 oz whiskey","2","1"
"1/2 oz strawberry","2","1"
"1/8 oz granulated sugar","2","1"
"6 1/3 oz gin","2","1"
"3 1/2 oz butter","2","1"
"4 1/3 oz english pea","2","1"
"1/4 oz lemon juice, freshly squeezed","2","1"
"3/4 oz monterey jack cheese, shredded","2","1"
"3/4 oz seltzer","2","1"
"3 1/2 oz oat flour","2","1"
"1/3 oz cucumber, partially peeled, quartered, and thinly sliced","2","1"
"1/4 oz green chartreuse","2","1"
"2 3/4 oz lemon simple syrup","2","1"
"1/3 oz cointreau","2","1"
"12 1/4 oz gin","2","1"
"2 oz rye whiskey","2","1"
"4 1/2 oz angostura bitters","2","1"
"1/3 oz cold water","2","1"
"2/3 oz simple syrup","2","1"
"2/3 oz homemade crouton","2","1"
"1/2 oz green chartreuse","2","1"
"1/8 oz sweet vermouth","2","1"
"1/3 oz granulated sugar","2","1"
"2/3 oz sharp cheddar, shredded","2","1"
"3 oz blanco tequila","2","1"
"1/8 oz sweet vermouth","2","1"
"2/3 oz amaro","2","1"
"1/8 oz cynar","2","1"
"3/4 oz lemon juice, fresh squeezed","2","1"
"12 1/8 oz gin","2","1"
"12 2/3 oz gin","2","1"
"1/3 oz dark brown sugar","2","1"
"1/2 oz pork sausage","2","1"
"2/3 oz confectioners sugar","2","1"
"6 3/4 oz sweet vermouth","2","1"
"2 1/3 oz simple syrup","2","1"
"1/8 oz unsalted butter","2","1"
"12 1/3 oz freshly squeezed lime juice","2","1"
"3  oz rye whiskey","2","1"
"3/4 oz lemon juice, freshly squeezed","2","1"
"3 2/3 oz whole milk","2","1"
"1 oz apple brandy","2","1"
"2 1/8 oz sugar","2","1"
"1/3 oz sugar","2","1"
"1/3 oz lime juice","2","1"
"1/2 oz rye whiskey","2","1"
"1/4 oz amber rum","2","1"
"3 1/4 oz salt pork","2","1"
"3 1/3 oz gin","2","1"
"1/8 oz gruyere, grated","2","1"
"1/2 oz lime juice, fresh","2","1"
"3 oz grapefruit juice, freshly squeezed","2","1"
"1/8 oz all purpose flour","2","1"
"12 3/4 oz lemon juice, freshly squeezed","2","1"
"6 oz whole mushroom","2","1"
"12 1/8 oz absinthe","2","1"
"1/8 oz lemon juice, freshly squeezed","2","1"
"1/4 oz ginger ale, chilled","2","1"
"3/4 oz freshly squeezed lime juice","2","1"
"1/8 oz amaro","2","1"
"1/3 oz cardamom pod","2","1"
"12 1/3 oz suze","2","1"
"1/3 oz parmesan, grated","2","1"
"2  oz coconut oil, around room temp so it is creamy and a little firm","2","1"
"1 2/3 oz pernod","2","1"
"1/4 oz aged rum","2","1"
"3/4 oz pear brandy","2","1"
"12 1/2 oz dry vermouth","2","1"
"3 1/2 oz milk chocolate, roughly chopped","2","1"
"1 3/4 oz asparagus","2","1"
"4 2/3 oz cachaca","2","1"
"6 1/4 oz dry curacao","2","1"
"1/8 oz lemon juice, fresh","2","1"
"2  oz seltzer, chilled","2","1"
"1/3 oz freshly squeezed orange juice","2","1"
"3/4 oz freshly squeezed lemon juice","2","1"
"6 1/3 oz ice cube","2","1"
"2/3 oz light brown sugar","2","1"
"1/2 oz sweetened condensed milk","2","1"
"4 oz granny smith apple cider","2","1"
"1/2 oz tequila","2","1"
"2 1/3 oz fresh pomegranate juice","2","1"
"1/8 oz lemon juice, freshly squeezed","2","1"
"1/3 oz orange marmalade","2","1"
"1/8 oz irish whiskey","2","1"
"3/4 oz club soda, chilled","2","1"
"1/3 oz citrus vodka","2","1"
"1/4 oz sharp cheddar, shredded","2","1"
"12 1/3 oz white rum","2","1"
"2/3 oz ginger juice","2","1"
"2/3 oz ginger","2","1"
"6 1/2 oz dry gin","2","1"
"1/8 oz dry curacao","2","1"
"1/8 oz apple brandy","2","1"
"4 1/4 oz lemon, freshly squeezed","2","1"
"3/4 oz canned whole tomato","2","1"
"1/8 oz sugar","2","1"
"2/3 oz ginger, peeled","2","1"
"1/8 oz lillet blanc","2","1"
"4 3/4 oz saint germain","2","1"
"1/4 oz beef sirloin, trimmed, cut into cubes, and chilled","2","1"
"1/8 oz seltzer","2","1"
"2 1/3 oz benedictine","2","1"
"2/3 oz lemon juice, fresh","2","1"
"1/8 oz apple brandy","2","1"
"1/4 oz granulated sugar","2","1"
"1/2 oz simple syrup","2","1"
"1 1/3 oz grand marnier","2","1"
"1/2 oz pine liqueur","2","1"
"2/3 oz unsalted butter","2","1"
"1/2 oz dry vermouth","2","1"
"4 1/2 oz calvados","2","1"
"2/3 oz light brown sugar","2","1"
"1 1/3 oz curacao","2","1"
"1/3 oz lime","2","1"
"12 2/3 oz galliano","2","1"
"1/8 oz lemon juice, fresh","2","1"
"4 3/4 oz simple syrup","2","1"
"1/3 oz cremini mushroom, quartered","2","1"
"4 1/4 oz dry gin","2","1"
"1/3 oz rye whiskey","2","1"
"3/4 oz freshly squeezed lemon juice","2","1"
"1/3 oz cointreau","2","1"
"1/4 oz whiskey","2","1"
"1/2 oz absinthe","2","1"
"7 oz swiss chard, stemmed, washed, and coarsely chopped","2","1"
"6 1/3 oz bourbon","2","1"
"1/3 oz demerara simple syrup","2","1"
"4 1/8 oz parmigiano reggiano, finely grated","2","1"
"1/8 oz cornstarch","2","1"
"1/8 oz unsalted butter","2","1"
"12 1/4 oz punt e mes","2","1"
"2/3 oz pistachio liqueur","2","1"
"1/3 oz parmigiano reggiano, grated","2","1"
"1/2 oz paneer","2","1"
"1/4 oz orgeat","2","1"
"3/4 oz gran classico","2","1"
"1/2 oz brandy","2","1"
"1/3 oz black coffee, hot","2","1"
"1/3 oz gin","2","1"
"3  oz punt e mes","2","1"
"3/4 oz sweet vermouth","2","1"
"1/2 oz coconut oil, room temperature","2","1"
"2/3 oz simple syrup","2","1"
"3/4 oz monterey jack cheese","2","1"
"1/4 oz sweet vermouth","2","1"
"1/4 oz gin","2","1"
"4  oz pearl onion","2","1"
"1/8 oz sparkling wine, chilled","2","1"
"1/8 oz feta, crumbled","2","1"
"3/4 oz unsalted butter, melted","2","1"
"3/4 oz lemon juice, freshly squeezed","2","1"
"1/4 oz rye whiskey","2","1"
"1/3 oz whiskey","2","1"
"1/8 oz all purpose flour","2","1"
"1 1/4 oz galliano","2","1"
"1/3 oz agave","2","1"
"1/3 oz heavy cream","2","1"
"3 1/3 oz sweet vermouth","2","1"
"1/4 oz dry vermouth","2","1"
"2  oz lime juice, fresh","2","1"
"1/4 oz vodka","2","1"
"3/4 oz lime juice, freshly squeezed","2","1"
"1/4 oz cheddar, grated","2","1"
"1/2 oz canned tomatoes","2","1"
"3/4 oz sweet vermouth","2","1"
"4 1/4 oz freshly squeezed orange juice","2","1"
"1/4 oz light brown sugar","2","1"
"1/3 oz dark rum","2","1"
"1/3 oz lime juice, freshly squeezed","2","1"
"3  oz vodka","2","1"
"1/2 oz blanco tequila","2","1"
"1/2 oz unsalted butter, chilled","2","1"
"3/4 oz sugar","2","1"
"3/4 oz all purpose flour","2","1"
"12 2/3 oz bread flour","2","1"
"3 2/3 oz all purpose flour","2","1"
"6 1/4 oz creme de cacao","2","1"
"1/3 oz dry vermouth","2","1"
"1/8 oz granulated sugar","2","1"
"6 3/4 oz rose champagne","2","1"
"1/4 oz dark rum","2","1"
"3/4 oz cocchi americano","2","1"
"1/3 oz light rum","2","1"
"1/2 oz dry sherry","2","1"
"3/4 oz cava","2","1"
"2/3 oz simple syrup, made with honey instead of sugar","2","1"
"1/4 oz tequila","2","1"
"1/3 oz gin","2","1"
"6 3/4 oz dark rum","2","1"
"1/8 oz allspice bitters","2","1"
"2  oz champagne","2","1"
"1/2 oz whole milk","2","1"
"1 3/4 oz lime juice, fresh squeezed","2","1"
"4 3/4 oz gin","2","1"
"12 1/4 oz lime juice, fresh","2","1"
"1 1/4 oz benedictine","2","1"
"12 1/8 oz cynar","2","1"
"3/4 oz bourbon","2","1"
"1/2 oz sugar","2","1"
"6  oz shallot, minced","2","1"
"1 2/3 oz dark brown sugar","2","1"
"1/2 oz barolo chinato","2","1"
"2/3 oz lime, fresh","2","1"
"12  oz ginger liqueur","2","1"
"1 1/4 oz tequila","2","1"
"12 1/3 oz lemon juice, fresh","2","1"
"3/4 oz creme de cacao","2","1"
"3/4 oz dry vermouth, chilled","2","1"
"2/3 oz fresh strawberry, trimmed and cut into bite-sized pieces","2","1"
"16 oz ice cube","2","1"
"1/4 oz gin","2","1"
"1/4 oz dark rum","2","1"
"1150 g whole wheat flour","2","0"
"850 g whole wheat flour","2","0"
"100g whole wheat flour","2","0"
"250g whole wheat flour","2","0"
"1250 ml whole wheat flour","2","0"
"300 ml whole wheat flour","2","0"
"1100ml whole wheat flour","2","0"
"200ml whole wheat flour","2","0"
"1150 g dry vermouth","2","0"
"300 g dry vermouth","2","0"
"400g dry vermouth","2","0"
"900g dry vermouth","2","0"
"250 ml dry vermouth","2","0"
"750 ml dry vermouth","2","0"
"1500ml dry vermouth","2","0"
"650ml dry vermouth","2","0"
"200 g prepared coffee-flavored simple syrup","2","0"
"600 g prepared coffee-flavored simple syrup","2","0"
"550g prepared coffee-flavored simple syrup","2","0"
"350g prepared coffee-flavored simple syrup","2","0"
"1400 ml prepared coffee-flavored simple syrup","2","0"
"650 ml prepared coffee-flavored simple syrup","2","0"
"1050ml prepared coffee-flavored simple syrup","2","0"
"1300ml prepared coffee-flavored simple syrup","2","0"
"1500 g whipped cream","2","0"
"200 g whipped cream","2","0"
"1400g whipped cream","2","0"
"600g whipped cream","2","0"
"1500 ml whipped cream","2","0"
"650 ml whipped cream","2","0"
"1250ml whipped cream","2","0"
"850ml whipped cream","2","0"
"900 g coffee","2","0"
"1300 g coffee","2","0"
"1500g coffee","2","0"
"200g coffee","2","0"
"50 ml coffee","2","0"
"500 ml coffee","2","0"
"1200ml coffee","2","0"
"800ml coffee","2","0"
"450 g paneer","2","0"
"550 g paneer","2","0"
"1200g paneer","2","0"
"1050g paneer","2","0"
"1500 ml paneer","2","0"
"1250 ml paneer","2","0"
"1100ml paneer","2","0"
"1000ml paneer","2","0"
"1300 g apple cider","2","0"
"600 g apple cider","2","0"
"1000g apple cider","2","0"
"1250g apple cider","2","0"
"150 ml apple cider","2","0"
"1450 ml apple cider","2","0"
"1000ml apple cider","2","0"
"1450ml apple cider","2","0"
"700 g all purpose flour","2","0"
"1150 g all purpose flour","2","0"
"1500g all purpose flour","2","0"
"150g all purpose flour","2","0"
"1500 ml all purpose flour","2","0"
"600 ml all purpose flour","2","0"
"1350ml all purpose flour","2","0"
"300ml all purpose flour","2","0"
"1000 g cardamom-infused bourbon","2","0"
"350 g cardamom-infused bourbon","2","0"
"950g cardamom-infused bourbon","2","0"
"1400g cardamom-infused bourbon","2","0"
"450 ml cardamom-infused bourbon","2","0"
"250 ml cardamom-infused bourbon","2","0"
"1150ml cardamom-infused bourbon","2","0"
"950ml cardamom-infused bourbon","2","0"
"400 g cognac","2","0"
"250 g cognac","2","0"
"200g cognac","2","0"
"800g cognac","2","0"
"650 ml cognac","2","0"
"400 ml cognac","2","0"
"800ml cognac","2","0"
"500ml cognac","2","0"
"800 g whole wheat flour","2","0"
"1400 g whole wheat flour","2","0"
"1350g whole wheat flour","2","0"
"750g whole wheat flour","2","0"
"500 ml whole wheat flour","2","0"
"350 ml whole wheat flour","2","0"
"700ml whole wheat flour","2","0"
"500ml whole wheat flour","2","0"
"1500 g cocchi americano","2","0"
"1450 g cocchi americano","2","0"
"550g cocchi americano","2","0"
"50g cocchi americano","2","0"
"950 ml cocchi americano","2","0"
"300 ml cocchi americano","2","0"
"1450ml cocchi americano","2","0"
"700ml cocchi americano","2","0"
"500 g aged rum","2","0"
"200 g aged rum","2","0"
"650g aged rum","2","0"
"1200g aged rum","2","0"
"1000 ml aged rum","2","0"
"1200 ml aged rum","2","0"
"1500ml aged rum","2","0"
"900ml aged rum","2","0"
"1250 g spinach","2","0"
"1300 g spinach","2","0"
"800g spinach","2","0"
"350g spinach","2","0"
"800 ml spinach","2","0"
"850 ml spinach","2","0"
"350ml spinach","2","0"
"950ml spinach","2","0"
"150 g dark rum","2","0"
"750 g dark rum","2","0"
"200g dark rum","2","0"
"1350g dark rum","2","0"
"1350 ml dark rum","2","0"
"100 ml dark rum","2","0"
"350ml dark rum","2","0"
"1450ml dark rum","2","0"
"1500 g cornmeal","2","0"
"1150 g cornmeal","2","0"
"700g cornmeal","2","0"
"750g cornmeal","2","0"
"950 ml cornmeal","2","0"
"1150 ml cornmeal","2","0"
"1050ml cornmeal","2","0"
"350ml cornmeal","2","0"
"1000 g heavy cream","2","0"
"1150 g heavy cream","2","0"
"400g heavy cream","2","0"
"450g heavy cream","2","0"
"100 ml heavy cream","2","0"
"500 ml heavy cream","2","0"
"1100ml heavy cream","2","0"
"650ml heavy cream","2","0"
"900 g apple brandy","2","0"
"1050 g apple brandy","2","0"
"50g apple brandy","2","0"
"800g apple brandy","2","0"
"1000 ml apple brandy","2","0"
"750 ml apple brandy","2","0"
"200ml apple brandy","2","0"
"300ml apple brandy","2","0"
"450 g mezcal","2","0"
"1500 g mezcal","2","0"
"150g mezcal","2","0"
"800g mezcal","2","0"
"1150 ml mezcal","2","0"
"650 ml mezcal","2","0"
"800ml mezcal","2","0"
"1250ml mezcal","2","0"
"1350 g dry lambrusco, chilled","2","0"
"600 g dry lambrusco, chilled","2","0"
"1500g dry lambrusco, chilled","2","0"
"750g dry lambrusco, chilled","2","0"
"1100 ml dry lambrusco, chilled","2","0"
"950 ml dry lambrusco, chilled","2","0"
"650ml dry lambrusco, chilled","2","0"
"1050ml dry lambrusco, chilled","2","0"
"350 g lime juice, fresh","2","0"
"450 g lime juice, fresh","2","0"
"250g lime juice, fresh","2","0"
"700g lime juice, fresh","2","0"
"1500 ml lime juice, fresh","2","0"
"500 ml lime juice, fresh","2","0"
"1300ml lime juice, fresh","2","0"
"500ml lime juice, fresh","2","0"
"850 g vanilla simple syrup","2","0"
"950 g vanilla simple syrup","2","0"
"800g vanilla simple syrup","2","0"
"900g vanilla simple syrup","2","0"
"550 ml vanilla simple syrup","2","0"
"1400 ml vanilla simple syrup","2","0"
"1100ml vanilla simple syrup","2","0"
"150ml vanilla simple syrup","2","0"
"650 g demerara simple syrup","2","0"
"1150 g demerara simple syrup","2","0"
"800g demerara simple syrup","2","0"
"650g demerara simple syrup","2","0"
"300 ml demerara simple syrup","2","0"
"350 ml demerara simple syrup","2","0"
"200ml demerara simple syrup","2","0"
"1250ml demerara simple syrup","2","0"
"400 g orange juice, fresh","2","0"
"950 g orange juice, fresh","2","0"
"250g orange juice, fresh","2","0"
"450g orange juice, fresh","2","0"
"50 ml orange juice, fresh","2","0"
"1400 ml orange juice, fresh","2","0"
"1500ml orange juice, fresh","2","0"
"750ml orange juice, fresh","2","0"
"1150 g grapefruit juice, freshly squeezed","2","0"
"50 g grapefruit juice, freshly squeezed","2","0"
"100g grapefruit juice, freshly squeezed","2","0"
"1200g grapefruit juice, freshly squeezed","2","0"
"850 ml grapefruit juice, freshly squeezed","2","0"
"600 ml grapefruit juice, freshly squeezed","2","0"
"250ml grapefruit juice, freshly squeezed","2","0"
"300ml grapefruit juice, freshly squeezed","2","0"
"150 g apple cider, fresh","2","0"
"100 g apple cider, fresh","2","0"
"500g apple cider, fresh","2","0"
"1150g apple cider, fresh","2","0"
"50 ml apple cider, fresh","2","0"
"300 ml apple cider, fresh","2","0"
"1400ml apple cider, fresh","2","0"
"1500ml apple cider, fresh","2","0"
"1400 g pickled pork","2","0"
"50 g pickled pork","2","0"
"750g pickled pork","2","0"
"1200g pickled pork","2","0"
"500 ml pickled pork","2","0"
"900 ml pickled pork","2","0"
"300ml pickled pork","2","0"
"1400ml pickled pork","2","0"
"1050 g reposado tequila","2","0"
"150 g reposado tequila","2","0"
"50g reposado tequila","2","0"
"650g reposado tequila","2","0"
"850 ml reposado tequila","2","0"
"1300 ml reposado tequila","2","0"
"1350ml reposado tequila","2","0"
"1100ml reposado tequila","2","0"
"350 g blood orange juice, fresh","2","0"
"1200 g blood orange juice, fresh","2","0"
"400g blood orange juice, fresh","2","0"
"550g blood orange juice, fresh","2","0"
"450 ml blood orange juice, fresh","2","0"
"1000 ml blood orange juice, fresh","2","0"
"700ml blood orange juice, fresh","2","0"
"1300ml blood orange juice, fresh","2","0"
"450 g sweet vermouth","2","0"
"650 g sweet vermouth","2","0"
"350g sweet vermouth","2","0"
"300g sweet vermouth","2","0"
"300 ml sweet vermouth","2","0"
"1350 ml sweet vermouth","2","0"
"450ml sweet vermouth","2","0"
