content,i_id,source
"1 lb brussels sprout, trimmed and halved",185,raasipe_db
1/2 cup heavy cream,36,raasipe_db
1 tsp whole grain mustard,186,raasipe_db
1 oz goat cheese,187,raasipe_db
"1 pinch nutmeg, freshly ground",46,raasipe_db
"1 clove garlic, pressed into a paste",32,raasipe_db
3 tbsp lemon juice,39,raasipe_db
1/2 tsp worcestershire sauce,75,raasipe_db
"6 anchovies, patted dry and mashed",4,raasipe_db
2 large egg yolks,28,raasipe_db
5 tbsp vegetable oil,11,raasipe_db
5 tsp extra virgin olive oil,30,raasipe_db
"1 1/2 oz parmesan, grated",52,raasipe_db
"3/4 tsp black peppercorn, freshly ground",8,raasipe_db
2 Hearts romaine lettuce,56,raasipe_db
"25 croutons, homemade",188,raasipe_db
1 tbsp extra virgin olive oil,30,raasipe_db
"1 clove small garlic, pressed into a paste",32,raasipe_db
"1 loaf small ciabatta, cubed",17,raasipe_db
1/4 cup water,71,raasipe_db
1/4 cup extra virgin olive oil,30,raasipe_db
"2 tbsp parmesan, grated",52,raasipe_db
16 green cardamom,173,raasipe_db
16 cloves,19,raasipe_db
1 cinnamon stick,172,raasipe_db
1 tbsp black peppercorn,8,raasipe_db
2 tbsp ground ginger,192,raasipe_db
3 dashes angostura bitters,5,raasipe_db
1 tsp superfine sugar,61,raasipe_db
"1 maraschino cherry, optional",79,raasipe_db
2 oz whiskey,72,raasipe_db
"1 orange twist, optional",50,raasipe_db
1 1/2 oz old tom gin,193,raasipe_db
1 1/2 oz sweet vermouth,62,raasipe_db
1 tsp maraschino liqueur,77,raasipe_db
1/8 tsp orange bitters,49,raasipe_db
1 lemon twist,194,raasipe_db
2 oz dry gin,33,raasipe_db
1 oz dry vermouth,276,raasipe_db
1 dash orange bitters,49,raasipe_db
2 oz rye whiskey,80,raasipe_db
1 oz sweet vermouth,62,raasipe_db
2 dashes angostura bitters,5,raasipe_db
1 maraschino cherry,79,raasipe_db
2 cups pomegranate juice,103,raasipe_db
1 1/2 cups granulated sugar,60,raasipe_db
2 oz pomegranate molasses,104,raasipe_db
2 tsp rose water,105,raasipe_db
3/4 oz grenadine,107,raasipe_db
3/4 oz lemon juice,39,raasipe_db
2 oz applejack,106,raasipe_db
1 dash peychauds bitters,108,raasipe_db
1 oz dry vermouth,78,raasipe_db
1/4 oz maraschino liqueur,77,raasipe_db
1/4 oz amer picon,81,raasipe_db
3/4 oz lime juice,42,raasipe_db
2 oz light rum,82,raasipe_db
1 wedge lime,41,raasipe_db
1/4 cup kosher salt,38,raasipe_db
2 oz blanco tequila,92,raasipe_db
1 oz cointreau,93,raasipe_db
1 wedge lemon,76,raasipe_db
2 oz cognac,21,raasipe_db
"1 lemon twist, optional",194,raasipe_db
2 tsp superfine sugar,61,raasipe_db
1 oz lemon juice,39,raasipe_db
2 oz gin,33,raasipe_db
"2 oz champagne, approximately",94,raasipe_db
1 tbsp celery salt,95,raasipe_db
1/4 tsp soy sauce,96,raasipe_db
1 dash cayenne pepper,98,raasipe_db
"1/2 tsp horseradish sauce, freshly grated",99,raasipe_db
1/4 tsp hot sauce,97,raasipe_db
2 oz vodka,69,raasipe_db
4 oz tomato juice,100,raasipe_db
"1 wedge lemon, juiced",76,raasipe_db
1 stick celery,14,raasipe_db
"1 cup chickpea, dried",200,raasipe_db
"1 cup onion, chopped",48,raasipe_db
"2 tbsp parsley, chopped",53,raasipe_db
"2 tbsp cilantro, chopped",87,raasipe_db
1 tsp red pepper flakes,201,raasipe_db
"4 cloves garlic, chopped",32,raasipe_db
"1 tsp cumin seed, toasted and ground",23,raasipe_db
4 tbsp all purpose flour,2,raasipe_db
2 qts vegetable oil,11,raasipe_db
1 tbsp granulated sugar,34,raasipe_db
2 1/4 tsp rapid rise yeast,202,raasipe_db
2 1/2 oz whole wheat flour,203,raasipe_db
10 oz all purpose flour,2,raasipe_db
"6 Slices sandwich bread, white, no crust",204,raasipe_db
4 cups water,71,raasipe_db
"2 1/2 cups almonds, sliced and blanched",210,raasipe_db
"1 clove garlic, peeled",32,raasipe_db
3 tbsp sherry vinegar,213,raasipe_db
1 1/4 tsp kosher salt,38,raasipe_db
1/4 tsp cayenne pepper,98,raasipe_db
1/2 cup extra virgin olive oil,30,raasipe_db
1/8 tsp almond extract,211,raasipe_db
2 tsp vegetable oil,11,raasipe_db
"1/3 cup almond, sliced and blanched",210,raasipe_db
"6 oz green grapes, seedless, sliced, thin",212,raasipe_db
3 cups half and half,35,raasipe_db
1 cup heavy cream,36,raasipe_db
"1 vanilla bean, split and scraped",66,raasipe_db
8 egg yolks,28,raasipe_db
"9 oz sugar, vanilla flavored if possible",60,raasipe_db
2 tsp vanilla extract,67,raasipe_db
"1 lb tomato, cored and halved",199,raasipe_db
"2 cloves garlic, unpeeled",32,raasipe_db
"1 shallot, sliced thin",215,raasipe_db
"1 lb tomato, cored and coarsely chopped",199,raasipe_db
1/8 tsp cayenne pepper,98,raasipe_db
2 tsp tomato paste,216,raasipe_db
1/8 tsp smoked paprika,217,raasipe_db
6 tbsp extra virgin olive oil,30,raasipe_db
1 tsp sherry vinegar,213,raasipe_db
"1 1/2 oz ancho chiles, dried, stemmed, seeded, torn into 1-inch pieces",218,raasipe_db
2 cups beef broth,219,raasipe_db
"1 tbsp chipotle chile, canned in adobo, minced",220,raasipe_db
2 tbsp vegetable oil,11,raasipe_db
"6 cloves garlic, minced",32,raasipe_db
1/4 cup tomato paste,216,raasipe_db
"1 tsp cumin seed, ground",23,raasipe_db
"1 lb ground beef, 90% lean",221,raasipe_db
"1 tsp coriander seed, ground",171,raasipe_db
"6 oz monterey jack cheese, shredded",222,raasipe_db
"2 tbsp cilantro, minced",87,raasipe_db
"12 corn tortillas, 6-inch",223,raasipe_db
"2 oz monterey jack cheese, shredded",222,raasipe_db
"3 avocados, halved and seeded, flesh removed",84,raasipe_db
8 wedges limes,41,raasipe_db
1 cup sour cream,225,raasipe_db
"1/4 cup cilantro, minced",87,raasipe_db
"2 scallions, sliced thinly",224,raasipe_db
"1 lime, juiced",41,raasipe_db
"1/2 tsp cumin seed, ground",23,raasipe_db
1/2 tsp cayenne pepper,98,raasipe_db
"1/2 onion, diced",48,raasipe_db
"1 jalapeno, diced",226,raasipe_db
"2 plum tomatoes, seeded and diced",88,raasipe_db
"1 tbsp cilantro, minced",87,raasipe_db
"1 clove garlic, minced",32,raasipe_db
"2 onions, chopped fine",48,raasipe_db
1 tbsp vegetable oil,11,raasipe_db
2/3 cup raspberry,334,raasipe_db
3 oz puffed brown rice,229,raasipe_db
1 tbsp honey,196,raasipe_db
1 egg white,27,raasipe_db
1 egg yolk,28,raasipe_db
1 egg,29,raasipe_db
2 tsp granulated sugar,34,raasipe_db
1/2 tsp vanilla extract,67,raasipe_db
1/2 tbsp unsalted butter,65,raasipe_db
"2 tbsp creme fraiche, optional",228,raasipe_db
3 tbsp flax seed oil,231,raasipe_db
7 oz marshmallows,230,raasipe_db
"3 oz slivered almonds, toasted",210,raasipe_db
1 1/2 oz dried blueberries,234,raasipe_db
1 1/2 oz dried cherries,233,raasipe_db
1 1/2 oz dried cranberry,26,raasipe_db
1/2 cup sugar,60,raasipe_db
3 cups whole milk,236,raasipe_db
2 cups heavy cream,36,raasipe_db
1 cup dark rum,237,raasipe_db
1 cup brandy,238,raasipe_db
8 egg whites,27,raasipe_db
1/4 cup sugar,60,raasipe_db
"1/2 tsp nutmeg, freshly grated",46,raasipe_db
3/4 cup sugar,60,raasipe_db
3 large egg yolks,28,raasipe_db
1/8 tsp kosher salt,38,raasipe_db
3 tbsp cornstarch,239,raasipe_db
"2 tbsp unsalted butter, divided",65,raasipe_db
1 tsp vanilla extract,67,raasipe_db
1/2 tsp ground cinnamon,18,raasipe_db
2 packets powdered gelatin,156,raasipe_db
3 tbsp unsalted butter,65,raasipe_db
"2 large carrots, peeled and minced",13,raasipe_db
"3 Ribs medium celery, minced",14,raasipe_db
"2 medium onions, peeled and minced",48,raasipe_db
2 lbs ground beef,221,raasipe_db
1 lb ground pork,241,raasipe_db
1 lb ground veal,242,raasipe_db
1 1/2 cups dry white wine,74,raasipe_db
2 bay leaves,243,raasipe_db
2 tsp kosher salt,38,raasipe_db
"2 tsp black peppercorn, freshly ground",8,raasipe_db
1/2 tsp fish sauce,240,raasipe_db
"1 pinch nutmeg, freshly grated",46,raasipe_db
"1/4 cup shallot, finely minced",215,raasipe_db
"3 cloves garlic, minced",32,raasipe_db
1 tbsp tomato paste,216,raasipe_db
1/4 tsp red pepper flakes,201,raasipe_db
"28 oz whole canned tomatoes, crushed by hand",244,raasipe_db
1/3 cup vodka,69,raasipe_db
"3/4 lb large shrimp, peeled and deveined, shells reserved",245,raasipe_db
1/8 tsp baking soda,168,raasipe_db
4 tbsp extra virgin olive oil,30,raasipe_db
"4 cloves garlic, thinly sliced",32,raasipe_db
2 tsp red pepper flakes,201,raasipe_db
1 1/2 tsp oregano,246,raasipe_db
2 tbsp brandy,238,raasipe_db
"28 oz canned tomatoes, crushed by hand",244,raasipe_db
1/2 cup clam juice,247,raasipe_db
1 gal water,71,raasipe_db
2 tbsp kosher salt,38,raasipe_db
1 lb dried spaghetti,249,raasipe_db
"1/4 cup flat-leaf parsley, minced",53,raasipe_db
2 tbsp extra virgin olive oil,30,raasipe_db
"2 cloves garlic, finely minced",32,raasipe_db
4 tbsp dijon mustard,257,raasipe_db
"4 tbsp parsley, finely chopped",53,raasipe_db
"1 young rack of lamb, about 2 lb",258,raasipe_db
"2 large leeks, rinsed and roughly chopped, dark green parts discarded",259,raasipe_db
1 qt chicken stock,16,raasipe_db
"2 medium russet potatoes, peeled and quartered",260,raasipe_db
1 bay leaf,243,raasipe_db
"1/4 tsp nutmeg, freshly grated",46,raasipe_db
"1 tbsp chive, minced",261,raasipe_db
2 cups whole milk,236,raasipe_db
"2 cloves garlic, smashed",32,raasipe_db
"2 small shallots, quartered",215,raasipe_db
"1/8 tsp nutmeg, freshly grated",46,raasipe_db
6 sprigs thyme,63,raasipe_db
2 tsp whole black peppercorn,8,raasipe_db
1 1/2 tsp kosher salt,38,raasipe_db
3 large russet potatoes,260,raasipe_db
"2 oz parmigiano reggiano, grated",262,raasipe_db
"4 oz gruyere, grated",263,raasipe_db
9 oz sugar,60,raasipe_db
4 cloves,19,raasipe_db
2 stars anise,266,raasipe_db
2 Sticks cinnamon,174,raasipe_db
1 pasilla de oaxaca,267,raasipe_db
1 vanilla bean,66,raasipe_db
1/2 tsp almond extract,211,raasipe_db
"3/4 cup red onion, finely chopped",167,raasipe_db
"2 cloves garlic, minced",32,raasipe_db
1 cup coarse cornmeal,20,raasipe_db
"2 oz parmesan, grated",52,raasipe_db
2 cups chianti,273,raasipe_db
"4 shallots, peeled and halved lengthwise",215,raasipe_db
"1 head garlic, separated but unpeeled",32,raasipe_db
"4 sprigs rosemary, fresh",274,raasipe_db
"2 tbsp black peppercorn, cracked",8,raasipe_db
1 tbsp powdered gelatin,156,raasipe_db
1 tsp anchovy paste,275,raasipe_db
1 cup chianti,273,raasipe_db
2 tsp cornstarch,239,raasipe_db
1/2 cup chianti,273,raasipe_db
"5 lbs chuck roast, divided into 1-inch chunks",157,raasipe_db
"1 lb vidalia onion, julienned 1/8""",284,raasipe_db
"1 lb red onion, julienned 1/8""",167,raasipe_db
"1 lb yellow onion, julienned 1/8""",281,raasipe_db
6 tbsp unsalted butter,65,raasipe_db
"4 shallots, julienned 1/8""",215,raasipe_db
1/2 cup dry sherry,282,raasipe_db
2 qts chicken stock,16,raasipe_db
1 tsp fish sauce,240,raasipe_db
1 tsp apple cider vinegar,6,raasipe_db
"1 loaf rustic bread, sliced and cut to fit in soup bowls",283,raasipe_db
"1 clove garlic, cut in half",32,raasipe_db
"2 tbsp unsalted butter, softened",65,raasipe_db
"1 lb gruyere, grated",263,raasipe_db
"2 tbsp chives, minced",261,raasipe_db
"8 cups fresh bing cherries, stemmed and pitted",286,raasipe_db
1 cup sugar,60,raasipe_db
1 tbsp citric acid,287,raasipe_db
1 tsp saffron,57,raasipe_db
3 cups 00 flour,288,raasipe_db
9 egg yolks,28,raasipe_db
1/3 cup sugar,60,raasipe_db
"2 1/2 lbs granny smith apples, peeled, cored, and sliced",175,raasipe_db
1/3 cup glucose syrup,290,raasipe_db
2 tsp malic acid,289,raasipe_db
1 1/2 tsp xanthan gum,292,raasipe_db
2 1/2 cups half and half,35,raasipe_db
3/4 cup glucose syrup,290,raasipe_db
1/3 cup honey,196,raasipe_db
1 tbsp kosher salt,38,raasipe_db
2 1/2 cups whole milk,236,raasipe_db
2 eggs,29,raasipe_db
1 tsp lemon juice,39,raasipe_db
1/2 tsp dijon mustard,257,raasipe_db
1 1/2 cups avocado oil,294,raasipe_db
8 ripe bananas,295,raasipe_db
1 1/2 cups water,71,raasipe_db
3/4 tsp yuzu juice,297,raasipe_db
1 cup creme fraiche,228,raasipe_db
2 tbsp lemon juice,39,raasipe_db
1 lb natural lump charcoal,298,raasipe_db
3/4 lb applewood chip,300,raasipe_db
5 lbs chicken backs,301,raasipe_db
5 lbs chicken necks,302,raasipe_db
8 qts ice cubes,115,raasipe_db
"1 cup leek, diced, white parts only",259,raasipe_db
"1/2 cup celery, diced",14,raasipe_db
"1/2 cup celery root, diced",303,raasipe_db
"1/2 cup shallot, diced",215,raasipe_db
"1/2 cup fennel bulb, diced",304,raasipe_db
5 white peppercorn,73,raasipe_db
1 sprig thyme,63,raasipe_db
12 large egg yolks,28,raasipe_db
1 pt half and half,35,raasipe_db
1 pt heavy cream,36,raasipe_db
1 pt whole milk,236,raasipe_db
1 cup rum,111,raasipe_db
1 cup cognac,21,raasipe_db
1 cup bourbon,109,raasipe_db
"1 tsp nutmeg, freshly grated",46,raasipe_db
"2 yellow onions, chopped fine",281,raasipe_db
"1/4 cup candied ginger, minced",307,raasipe_db
"1 tbsp ginger, freshly grated",306,raasipe_db
"2 cloves garlic, peeled and smashed",32,raasipe_db
1 tsp sugar,60,raasipe_db
"2 lbs carrots, peeled and sliced 1/4"" thick",13,raasipe_db
3/4 cup carrot juice,272,raasipe_db
2 sprigs fresh thyme,63,raasipe_db
1/2 tsp baking soda,168,raasipe_db
1 tbsp apple cider vinegar,6,raasipe_db
1/4 cup sour cream,225,raasipe_db
2 lbs cauliflower,308,raasipe_db
"4 oz sharp cheddar, grated",309,raasipe_db
1/2 cup bread crumbs,310,raasipe_db
1/2 tsp smoked paprika,217,raasipe_db
"1/2 oz cheddar, grated",309,raasipe_db
"8 bone-in chicken thighs, trimmed",311,raasipe_db
1/3 cup soy sauce,96,raasipe_db
13 1/2 oz coconut milk,313,raasipe_db
1 cup apple cider vinegar,6,raasipe_db
"8 cloves garlic, peeled",32,raasipe_db
4 bay leaves,243,raasipe_db
"1 tbsp black peppercorn, freshly ground",8,raasipe_db
"2 scallions, sliced thin",224,raasipe_db
1 1/2 oz unsweetened cocoa powder,314,raasipe_db
1 cup half and half,35,raasipe_db
2 cups half and half,35,raasipe_db
1 1/2 tsp vanilla extract,67,raasipe_db
2 tbsp heavy cream,36,raasipe_db
"1/2 cup sliced almond, toasted",315,raasipe_db
1 3/4 oz sugar,60,raasipe_db
5 oz all purpose flour,2,raasipe_db
1 1/4 cups heavy cream,36,raasipe_db
1/2 tsp espresso powder,316,raasipe_db
"9 oz bittersweet chocolate, chopped fine",317,raasipe_db
"4 tbsp unsalted butter, thinly sliced",65,raasipe_db
"2 eggs, lightly beaten and at room temperature",29,raasipe_db
3 tbsp heavy cream,36,raasipe_db
1 tbsp corn syrup,291,raasipe_db
"2 oz bittersweet chocolate, chopped fine",317,raasipe_db
1 tbsp hot water,71,raasipe_db
12 wisps orange zest,179,raasipe_db
2 red grapefruits,319,raasipe_db
3 navel oranges,320,raasipe_db
"1 1/2 lbs sweet cherries, pitted and halved",15,raasipe_db
1 tsp unsalted butter,65,raasipe_db
"1/2 cup pecan, coarsely chopped",177,raasipe_db
3 tbsp high-quality extra virgin olive oil,30,raasipe_db
"1 small shallot, minced",215,raasipe_db
1 tsp dijon mustard,257,raasipe_db
"4 oz watercress, torn into pieces",321,raasipe_db
2/3 cup dried cherries,233,raasipe_db
2 tsp all purpose flour,2,raasipe_db
1/8 tsp ground cinnamon,18,raasipe_db
4 large eggs,29,raasipe_db
2/3 cup sugar,60,raasipe_db
2 1/2 tsp vanilla extract,67,raasipe_db
1/2 cup all purpose flour,2,raasipe_db
2/3 cup whole milk,236,raasipe_db
2 tsp sugar,60,raasipe_db
8 oz masa harina,324,raasipe_db
1 tsp vegetable oil,11,raasipe_db
1 cup warm water,71,raasipe_db
"1/4 cup orange juice, freshly squeezed",325,raasipe_db
1/4 cup pure cranberry juice,326,raasipe_db
1 cup honey,196,raasipe_db
1 lb fresh cranberry,232,raasipe_db
"1 tsp orange zest, finely grated",179,raasipe_db
1 tsp fresh lemon juice,39,raasipe_db
"2 tbsp unsalted butter, divided into 4 chunks",65,raasipe_db
1/4 cup light brown sugar,40,raasipe_db
"2 medium peaches, peeled and cut into eighths",323,raasipe_db
"1 oz candied ginger, finely minced",307,raasipe_db
2 1/2 oz all purpose flour,2,raasipe_db
"1/2 cup buttermilk, room temperature",170,raasipe_db
"1 tbsp unsalted butter, melted",65,raasipe_db
2 lbs beets,328,raasipe_db
"2 cloves garlic, crushed and peeled",32,raasipe_db
"1 small red chile, seeded and diced",329,raasipe_db
1 cup greek yogurt,332,raasipe_db
1 1/2 tbsp date syrup,330,raasipe_db
3 tbsp extra virgin olive oil,30,raasipe_db
1 tbsp za'atar,331,raasipe_db
"2 scallions, thinly sliced",224,raasipe_db
"2 tbsp hazelnuts, toasted and crushed",322,raasipe_db
"2 oz goat cheese, softened and crumbled",187,raasipe_db
"2 lbs sugar, approximately",60,raasipe_db
1 cup red wine vinegar,280,raasipe_db
1 1/2 pints raspberries,334,raasipe_db
10 inches parchment paper,335,raasipe_db
3 cups water,71,raasipe_db
"12 small carrots, peeled",13,raasipe_db
"1/3 cup golden raisin, roughly chopped",337,raasipe_db
1 tbsp water,71,raasipe_db
"2/3 cup green olive, pitted and chopped",338,raasipe_db
"1 shallot, minced",215,raasipe_db
1 tbsp red wine vinegar,280,raasipe_db
"1/2 tsp fennel seed, ground",339,raasipe_db
4 1/2 feet parchment paper,335,raasipe_db
125 g blanched almond flour,344,raasipe_db
"110 g egg whites, left out overnight at room temperature",27,raasipe_db
225 g icing sugar,343,raasipe_db
30 g granulated sugar,34,raasipe_db
"8 oz bittersweet chocolate, finely chopped",317,raasipe_db
"4 tbsp unsalted butter, room temperature",65,raasipe_db
1 1/2 cups ketchup,37,raasipe_db
1/4 cup worcestershire sauce,75,raasipe_db
1/4 cup soy sauce,96,raasipe_db
1 cup brown sugar,176,raasipe_db
2 tbsp mustard powder,165,raasipe_db
1/4 cup chile powder,346,raasipe_db
1 tsp ground ginger,192,raasipe_db
"1 onion, roughly chopped",48,raasipe_db
28 oz tomato puree,347,raasipe_db
"1/2 cup brown sugar, packed",176,raasipe_db
1/4 cup apple cider vinegar,6,raasipe_db
1/2 tsp mustard powder,165,raasipe_db
"1/8 tsp clove, ground",19,raasipe_db
"1/8 tsp allspice, ground",3,raasipe_db
"6 oz bacon, chopped",184,raasipe_db
"2 large yellow onions, finely chopped",281,raasipe_db
1 spice bag,382,raasipe_db
3 cloves,19,raasipe_db
1 pod anise,266,raasipe_db
"3 Ribs celery, minced",14,raasipe_db
1 tbsp olive oil,387,raasipe_db
8 oz coarse ground beef chuck,383,raasipe_db
8 oz coarse ground pork butt,384,raasipe_db
1/2 cup white wine,74,raasipe_db
"1 oz dried porcini mushroom, finely chopped",385,raasipe_db
3/4 cup evaporated milk,386,raasipe_db
3 cups beef broth,219,raasipe_db
"3 cloves garlic, sliced",32,raasipe_db
56 oz canned tomatoes,244,raasipe_db
1 tbsp dried oregano,246,raasipe_db
1 tbsp dried basil,388,raasipe_db
1 tbsp dried marjoram,389,raasipe_db
1/4 cup white wine,74,raasipe_db
2 tbsp tomato paste,216,raasipe_db
1 tbsp ketchup,37,raasipe_db
1 tbsp sherry vinegar,213,raasipe_db
2 tsp worcestershire sauce,75,raasipe_db
8 oz unsalted butter,65,raasipe_db
12 oz bread flour,390,raasipe_db
1 tsp baking soda,168,raasipe_db
2 oz granulated sugar,34,raasipe_db
8 oz light brown sugar,40,raasipe_db
1 large egg,29,raasipe_db
1 large egg yolk,28,raasipe_db
1 oz whole milk,236,raasipe_db
12 oz chocolate chips,391,raasipe_db
200 g unsalted butter,65,raasipe_db
300 g superfine sugar,61,raasipe_db
"1 clementine, zested",393,raasipe_db
"1 lemon, zested",76,raasipe_db
1 1/4 cups ground almonds,210,raasipe_db
"5 eggs, beaten",29,raasipe_db
"100 g all purpose flour, sifted",2,raasipe_db
"4 clementines, juiced",393,raasipe_db
"1 lemon, juiced",76,raasipe_db
80 g superfine sugar,61,raasipe_db
"2 clementines, zested",393,raasipe_db
"4 oz salt pork, cubed",395,raasipe_db
"8 sprigs thyme, leaves removed",63,raasipe_db
"2 lbs yukon gold potatoes, cubed 1/2""",265,raasipe_db
5 cups fish stock,397,raasipe_db
"3 lbs boneless, skinless haddock",398,raasipe_db
1 1/2 cups heavy cream,36,raasipe_db
"2 tbsp parsley, minced",53,raasipe_db
2 cups oyster crackers,400,raasipe_db
"2 lbs white fish, bones and heads only, gills removed",401,raasipe_db
"1 cup yellow onion, diced",281,raasipe_db
"1 cup fennel bulb, diced",304,raasipe_db
"1 medium leek, minced",259,raasipe_db
"2/3 cup celery, diced",14,raasipe_db
"2 cloves garlic, crushed",32,raasipe_db
1 cup dry white wine,74,raasipe_db
2 sprigs parsley,53,raasipe_db
2 sprigs tarragon,166,raasipe_db
"2 2/3 oz water, 105 degrees",71,raasipe_db
1/4 tsp rapid rise yeast,202,raasipe_db
12 1/2 oz all purpose flour,2,raasipe_db
"10 oz water, 105 degrees",71,raasipe_db
1 tsp rapid rise yeast,202,raasipe_db
"2 tbsp rosemary, minced",274,raasipe_db
"3 Slices thick-cut bacon, cut into 1/2"" pieces",184,raasipe_db
"1 large onion, sliced thin",48,raasipe_db
"2 tsp fresh thyme, chopped",63,raasipe_db
"3 lbs yukon gold potatoes, peeled and sliced 1/8"" thick",265,raasipe_db
"2 tbsp unsalted butter, divided into 4 pieces",65,raasipe_db
1 1/4 cups chicken broth,403,raasipe_db
1 1/4 cups beef broth,219,raasipe_db
12 blades mace,404,raasipe_db
10 inches cinnamon sticks,172,raasipe_db
25 cloves,19,raasipe_db
25 green cardamom,173,raasipe_db
12 black cardamom,405,raasipe_db
10 bay leaves,243,raasipe_db
3 tbsp cumin seeds,23,raasipe_db
1 1/2 tbsp black peppercorn,8,raasipe_db
"1 turkey neck, cut in half",406,raasipe_db
"1 turkey back, cut in half",407,raasipe_db
1 batch turkey giblets,408,raasipe_db
"1 small yellow onion, quartered",281,raasipe_db
"1 medium carrot, quartered",13,raasipe_db
"1 rib celery, quartered",14,raasipe_db
6 cups water,71,raasipe_db
1 sprig rosemary,274,raasipe_db
2 cups giblet stock,409,raasipe_db
1/2 cup giblet stock,409,raasipe_db
1 tbsp all purpose flour,2,raasipe_db
1 tbsp potato starch,410,raasipe_db
"1 tsp rosemary, minced",274,raasipe_db
"1 tsp sage, minced",58,raasipe_db
"1 tsp thyme, minced",63,raasipe_db
"1/4 tsp black peppercorn, freshly ground",8,raasipe_db
2/3 cup molasses,160,raasipe_db
3/4 cup stout beer,411,raasipe_db
5 1/4 oz light brown sugar,40,raasipe_db
1 3/4 oz granulated sugar,34,raasipe_db
1 1/2 cups all purpose flour,2,raasipe_db
1/2 tsp double-acting baking powder,169,raasipe_db
2 large eggs,29,raasipe_db
1/3 cup vegetable oil,11,raasipe_db
"2 tbsp ground ginger, finely grated",192,raasipe_db
"2 cups cilantro, leaves only",87,raasipe_db
"1 1/2 cups flat-leaf parsley, leaves only",53,raasipe_db
"2 cups dill, leaves only",197,raasipe_db
"1 cup tarragon, leaves only",166,raasipe_db
"1 1/2 cups basil, leaves only",388,raasipe_db
1 1/2 cups arugula,412,raasipe_db
1 cup whole hazelnut,322,raasipe_db
"2 tbsp preserved lemon, thinly sliced",413,raasipe_db
1 cup granulated sugar,34,raasipe_db
"6 oz unsweetened chocolate, chopped fine",415,raasipe_db
1 cup unsweetened cocoa powder,314,raasipe_db
1/2 cup nonfat powdered milk,414,raasipe_db
1 1/2 tbsp cornstarch,239,raasipe_db
3/4 tsp kosher salt,38,raasipe_db
1 1/4 cups dried chickpeas,200,raasipe_db
6 1/2 cups water,71,raasipe_db
1 cup tahini,416,raasipe_db
4 tbsp lemon juice,39,raasipe_db
"4 cloves garlic, crushed",32,raasipe_db
6 1/2 tbsp ice cold water,71,raasipe_db
1 qt vegetable oil,11,raasipe_db
"1 medium red onion, thinly sliced",167,raasipe_db
1 tsp white poppy seed,418,raasipe_db
2 tbsp hot water,71,raasipe_db
1/2 cup cashew,417,raasipe_db
6 cloves,19,raasipe_db
2 green cardamom,173,raasipe_db
1 blade mace,404,raasipe_db
1 tbsp dried rose petal,419,raasipe_db
1 pinch nutmeg,46,raasipe_db
7 oz ground lamb,420,raasipe_db
"1/2 tbsp grated khoya, optional",421,raasipe_db
"1 tsp white peppercorn, freshly ground",73,raasipe_db
1 1/2 tsp chile powder,346,raasipe_db
8 threads saffron,57,raasipe_db
"2 tsp ginger, pressed into a paste",306,raasipe_db
"2 tsp garlic, pressed into a paste",32,raasipe_db
1 qt buttermilk,170,raasipe_db
